;C11;C15;C17;C19;C3;C5;C6;CJA
intéressant bn:00105276a;1; 0; 0; 0; 0; 0; 0; 0; 
clic bn:00019758n;1; 1; 0; 1; 0; 0; 1; 1; 
vide bn:00087578v;1; 0; 1; 0; 0; 0; 0; 1; 
text bn:14981519n;1; 1; 0; 1; 1; 1; 1; 1; 
minimale bn:00106755a;1; 0; 1; 0; 0; 0; 1; 0; 
avoir lieu bn:00085337v;1; 1; 0; 1; 1; 1; 1; 1; 
adresse email bn:02312462n;1; 1; 0; 0; 0; 0; 1; 0; 
fourniture bn:00075322n;1; 0; 0; 0; 0; 0; 0; 0; 
mise bn:00016287n;1; 1; 0; 0; 1; 0; 1; 1; 
list bn:04720346n;1; 1; 0; 0; 1; 0; 0; 1; 
renard bn:00036129n;1; 0; 0; 0; 0; 0; 0; 0; 
sports bn:00006759n;1; 0; 0; 0; 0; 0; 1; 0; 
tennis bn:00050287n;1; 0; 0; 0; 0; 0; 1; 0; 
basket bn:00008889n;1; 0; 0; 0; 0; 0; 0; 0; 
tulipe bn:00078559n;1; 0; 0; 0; 0; 0; 0; 0; 
liste déroulante bn:00028831n;1; 0; 0; 0; 0; 0; 1; 0; 
prénom bn:15996005n;1; 1; 0; 1; 0; 1; 1; 0; 
applications web bn:02246184n;1; 1; 1; 0; 0; 0; 1; 1; 
serveur web bn:02705179n;1; 1; 1; 1; 1; 1; 1; 1; 
mode bn:00033729n;1; 1; 1; 1; 1; 1; 1; 1; 
w3c bn:02673666n;1; 0; 0; 0; 1; 0; 1; 0; 
dtd bn:15232677n;1; 0; 0; 0; 0; 0; 1; 0; 
logiciel bn:00021497n;1; 1; 1; 0; 0; 0; 1; 1; 
open source bn:01157392n;1; 0; 0; 0; 1; 0; 0; 1; 
code source bn:00072947n;1; 0; 1; 1; 0; 1; 1; 1; 
statiques bn:00111112a;1; 0; 0; 0; 0; 0; 0; 0; 
configuration bn:03088982n;1; 1; 1; 1; 1; 1; 0; 0; 
évidente bn:00097350a;1; 0; 1; 0; 1; 0; 0; 0; 
second bn:00105773a;1; 1; 0; 1; 1; 0; 0; 0; 
exécutable bn:00102521a;1; 0; 1; 0; 0; 0; 1; 1; 
système d bn:04836299n;1; 0; 1; 0; 0; 1; 0; 1; 
microsoft bn:01165400n;1; 1; 1; 0; 0; 1; 1; 0; 
microsoft internet information server bn:01364468n;1; 0; 0; 0; 0; 0; 0; 0; 
choix bn:00018661n;1; 1; 0; 0; 0; 0; 0; 0; 
programmation procédurale bn:01706415n;1; 0; 1; 0; 1; 1; 0; 0; 
procédurale bn:00109049a;1; 0; 0; 0; 1; 0; 0; 0; 
httpd.conf bn:03668763n;1; 1; 1; 0; 0; 0; 0; 0; 
common gateway interface bn:03588331n;1; 1; 0; 0; 0; 0; 1; 0; 
disponibles bn:00097846a;1; 1; 1; 0; 1; 0; 1; 0; 
fichier pdf bn:01745594n;1; 1; 0; 1; 0; 1; 1; 0; 
animation flash bn:00890589n;1; 0; 0; 0; 0; 0; 0; 0; 
xml bn:02771436n;1; 0; 1; 0; 1; 1; 1; 0; 
sauve bn:00093279v;1; 0; 0; 0; 0; 0; 0; 0; 
système de fichiers bn:00034429n;1; 0; 0; 1; 1; 0; 0; 0; 
davantage bn:00116284r;1; 0; 0; 0; 0; 0; 0; 0; 
interbase bn:00968039n;1; 0; 0; 0; 0; 0; 0; 0; 
postgresql bn:01709156n;1; 1; 1; 1; 0; 0; 1; 0; 
ibm db2 bn:00637255n;1; 0; 0; 0; 0; 0; 0; 0; 
odbc bn:14228731n;1; 1; 0; 0; 0; 0; 1; 0; 
informix bn:03306725n;1; 1; 1; 0; 0; 0; 1; 0; 
ingres bn:03724918n;1; 0; 0; 0; 0; 0; 0; 0; 
délimiter bn:00086464v;1; 1; 1; 0; 1; 0; 1; 1; 
séparateurs bn:03371342n;1; 0; 1; 1; 1; 0; 1; 0; 
fin de ligne bn:00051314n;1; 0; 0; 0; 0; 0; 0; 0; 
signe dollar bn:00028116n;1; 1; 0; 0; 0; 0; 0; 0; 
barre oblique bn:00026814n;1; 0; 0; 0; 0; 0; 0; 0; 
oblique bn:00107678a;1; 0; 1; 0; 0; 0; 0; 0; 
originale bn:00107979a;1; 0; 0; 0; 0; 0; 0; 0; 
entiers bn:00047009n;1; 1; 1; 1; 1; 1; 0; 1; 
globale bn:00103624a;1; 1; 1; 1; 1; 0; 1; 1; 
dehors bn:00114309r;1; 0; 0; 0; 0; 0; 0; 0; 
illustre bn:00110549a;1; 0; 0; 0; 0; 0; 0; 0; 
variable globale bn:02011863n;1; 1; 1; 0; 1; 0; 0; 0; 
portee bn:03460088n;1; 1; 1; 0; 1; 0; 0; 0; 
web bn:00080772n;1; 1; 0; 1; 1; 0; 1; 1; 
décorer bn:00082387v;1; 1; 0; 0; 0; 0; 0; 0; 
caractère de soulignement bn:14528514n;1; 0; 0; 0; 0; 0; 0; 0; 
couple bn:00012597n;1; 1; 0; 1; 0; 0; 1; 0; 
extérieur bn:03882811n;1; 0; 0; 0; 0; 0; 0; 0; 
méthode bn:01641329n;1; 1; 0; 1; 1; 1; 1; 1; 
détails bn:00067417n;1; 1; 0; 0; 0; 1; 1; 0; 
identifiables bn:00104510a;1; 1; 0; 0; 0; 0; 0; 0; 
adresse ip bn:00706454n;1; 1; 1; 0; 0; 0; 0; 0; 
entité html bn:01327413n;1; 1; 0; 0; 1; 0; 0; 0; 
lettre bn:00003057n;1; 0; 1; 0; 1; 1; 0; 0; 
quelconque bn:00097433a;1; 1; 0; 0; 0; 0; 1; 1; 
programmeur bn:00020358n;1; 1; 1; 0; 0; 1; 0; 1; 
nombre à virgule flottante bn:00035278n;1; 1; 1; 0; 1; 0; 0; 0; 
ainsi bn:00117173r;1; 0; 1; 1; 0; 0; 1; 0; 
chaîne vide bn:03716205n;1; 0; 0; 0; 1; 0; 1; 0; 
