;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
unix_timestamp bn:00124230n;0; 1; 1; 1; 
retirer bn:00092783v;0; 1; 1; 1; 
dll bn:02058089n;0; 1; 1; 1; 
jpeg bn:00838809n;0; 1; 1; 1; 
windows bitmap bn:01848933n;0; 1; 1; 1; 
truecolor bn:04000779n;0; 1; 1; 1; 
largeur bn:00012893n;0; 1; 1; 1; 
gd bn:03462925n;0; 1; 1; 1; 
gif bn:00444440n;0; 1; 1; 1; 
psd bn:15712791n;0; 1; 1; 1; 
tiff bn:00663058n;0; 1; 1; 1; 
intel bn:00670400n;0; 0; 1; 1; 
rouge bn:00066631n;0; 0; 1; 1; 
vert bn:00041648n;0; 0; 1; 1; 
premier bn:00103006a;0; 1; 0; 0; 
rvb bn:01953314n;0; 1; 1; 1; 
coordonnées bn:00022459n;0; 1; 1; 1; 
total bn:00102277a;0; 1; 0; 0; 
zone bn:00005513n;0; 1; 0; 1; 
blue bn:00765896n;0; 1; 1; 1; 
cercle bn:00019169n;0; 1; 0; 1; 
ellipse bn:00030406n;0; 1; 1; 1; 
juste bn:00114626r;0; 1; 1; 1; 
mot-clé bn:03277968n;0; 1; 1; 1; 
constante bn:14692918n;0; 1; 1; 0; 
classe d bn:14503356n;0; 1; 1; 1; 
autre bn:03870834n;0; 1; 0; 0; 
héritage multiple bn:01226081n;0; 1; 1; 0; 
classe a bn:17130264n;0; 1; 1; 1; 
faire référence bn:00085006v;0; 1; 1; 1; 
générique bn:00103518a;0; 1; 1; 0; 
type b bn:00007599n;0; 1; 1; 1; 
ramasse-miettes bn:00037292n;0; 1; 1; 0; 
code objet bn:00058451n;0; 1; 1; 1; 
clonage bn:04738539n;0; 1; 1; 1; 
directe bn:00101420a;0; 1; 1; 0; 
explicite bn:00102589a;0; 1; 1; 0; 
via bn:01515703n;0; 1; 1; 1; 
descripteur de fichiers bn:03441901n;0; 1; 1; 1; 
o3 bn:01507028n;0; 1; 1; 1; 
substituer bn:00087802v;0; 1; 1; 1; 
être utile bn:00085368v;0; 1; 0; 0; 
utile bn:00113456a;0; 1; 1; 0; 
abstraire bn:00082180v;0; 0; 1; 0; 
abstraites bn:00096212a;0; 1; 1; 0; 
classe abstraite bn:03110061n;0; 1; 1; 0; 
dérivée bn:00026447n;0; 1; 1; 1; 
implémentant bn:00084595v;0; 1; 1; 0; 
redéfinition bn:00066711n;0; 1; 1; 0; 
final bn:01755798n;0; 1; 1; 0; 
final bn:00102969a;0; 1; 1; 0; 
prototypes bn:03593973n;0; 1; 1; 1; 
template bn:02473997n;0; 1; 1; 1; 
déclencher bn:00082306v;0; 1; 1; 1; 
contraire bn:00100398a;0; 1; 1; 1; 
variable bn:00113503a;0; 1; 0; 1; 
iterator bn:00967687n;0; 1; 1; 0; 
numéro de ligne bn:03406633n;0; 1; 1; 1; 
erreur bn:00031485n;0; 1; 1; 1; 
parent bn:00060643n;0; 1; 0; 1; 
ancien système bn:01069561n;0; 1; 1; 1; 
stream bn:02122367n;0; 1; 1; 1; 
xampp bn:02350502n;0; 0; 1; 1; 
etc. bn:00114282r;0; 0; 0; 1; 
erreur de syntaxe bn:00075740n;0; 1; 1; 1; 
intéresser bn:00089814v;0; 1; 1; 1; 
réception bn:00066489n;0; 1; 1; 0; 
répéter bn:00089731v;0; 0; 1; 1; 
cas objet bn:00000786n;0; 1; 1; 1; 
internes bn:00105292a;0; 1; 1; 0; 
supporter bn:00093674v;0; 1; 1; 1; 
remplissage bn:03416628n;0; 1; 0; 1; 
structure bn:00094491v;0; 1; 1; 1; 
epub bn:01314222n;1; 0; 1; 1; 
format pdf bn:01745594n;1; 0; 0; 1; 
caractéristique bn:00099532a;1; 0; 0; 0; 
installation bn:03478637n;1; 0; 1; 0; 
3.14 bn:00062194n;1; 0; 1; 0; 
filtrage bn:00259585n;1; 0; 1; 1; 
validation bn:03925844n;1; 0; 1; 1; 
composer bn:14766022n;1; 0; 0; 0; 
symfony bn:02798620n;1; 0; 1; 1; 
application bn:00005095n;1; 0; 1; 1; 
web service bn:03829842n;1; 0; 1; 1; 
web mobile bn:03168096n;1; 0; 1; 1; 
