;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
logiciel open source bn:01157392n;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
licence php bn:03293781n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
rasmus lerdorf bn:03232211n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
publique bn:00109211a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
livre d’or bn:03888259n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
compteur bn:00023158n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
zeev suraski bn:00571154n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
netcraft bn:03608511n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
zend bn:03133191n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
société privée bn:00036346n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
interpréter bn:00089840v;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
calcul mathématique bn:00014689n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
mathématique bn:00106488a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
licence open source bn:01530143n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
télécharger bn:14037830n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
serveur bn:00044916n;0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 
tar.gz bn:16068787n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
help bn:13915186n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
serveur apache bn:01932513n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
httpd.conf bn:03668763n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
debian bn:03704159n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
comportement bn:00009657n;0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
complexe bn:00100148a;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
gestion bn:00053116n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
relatifs bn:00109123a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
type bn:00016413n;0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
opérateurs bn:16281811n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
