X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
commentaires bn:00020978n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0153846 ; 0.0153846 ; 0 ; 0 ; 0
boîte de dialogue bn:00026837n ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
modèle objet bn:00058448n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0
document bn:00087138v ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
identique bn:00104508a ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111
fichier batch bn:00744119n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
touche de tabulation bn:00075801n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
supplémentaires bn:00111488a ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235
label bn:00066581n ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
également bn:00115274r ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
personne bn:00046516n ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.0588235
menu en cascade bn:00016397n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
langage objets bn:00058453n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
délicat bn:00101358a ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
feuilles de style bn:00802225n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
feuilles de style en cascade bn:01642119n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235
mise en page bn:01681906n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0
fonctionnement bn:00036838n ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111
stratégie bn:00069579n ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
feuille de style bn:00074837n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
concept bn:00021547n ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0
abstrait bn:00096212a ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0
concrétisation bn:00066410n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
sens bn:00046139n ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0
double point bn:00020704n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
point-virgule bn:00070420n ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0.0153846 ; 0 ; 0
applicables bn:00097372a ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
élément html bn:02104867n ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303
contextuels bn:00100369a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
rouge bn:00066631n ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303
éditeur de texte bn:00076736n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0
pixel bn:00061282n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
signaler bn:00071525n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
éditeur html bn:00895215n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
partielle bn:00108290a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
tenir compte bn:00082541v ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
hiérarchie bn:00044017n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
algorithme bn:00002705n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
énoncé bn:00087699v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
valables bn:00113486a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
retrouver bn:00088204v ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235
href bn:00045513n ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303
type de fichier bn:01156328n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
styler bn:00042550n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
arial bn:01485779n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
helvetica bn:00043646n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
script côté client bn:03689253n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
côté client bn:03163702n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194
interactivité bn:03489302n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
invoquer bn:00082770v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
semaine bn:00043484n ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235
sommes bn:00082322v ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
concaténation bn:03489514n ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0
souplesse bn:00035191n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
client mail bn:03183100n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
travers bn:00042404n ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0
e-mail bn:00029345n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
mailto bn:03829206n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
intéressant bn:00105276a ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
clic bn:00019758n ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0
vide bn:00087578v ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
text bn:14981519n ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0
minimale bn:00106755a ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
avoir lieu bn:00085337v ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0
adresse email bn:02312462n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
fourniture bn:00075322n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
mise bn:00016287n ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0
list bn:04720346n ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0
renard bn:00036129n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
sports bn:00006759n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
tennis bn:00050287n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
basket bn:00008889n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
tulipe bn:00078559n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
liste déroulante bn:00028831n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
prénom bn:15996005n ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303
applications web bn:02246184n ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0.030303 ; 0 ; 0
w3c bn:02673666n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
dtd bn:15232677n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
logiciel bn:00021497n ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0.030303 ; 0 ; 0
