;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
induced bn:00084700v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
delicate bn:00101127a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
thereof bn:00117253r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
processor bn:00014395n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
problem finding bn:01011735n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sequential bn:00100306a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
programming language bn:00064652n;0; 0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 
fit bn:00103024a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
preliminary bn:00108949a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
feature bn:00017761n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
project bn:00049573n;0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
later bn:00114165r;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
crossing bn:00083024v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
borderline bn:00012212n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
underlying bn:00095360v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
actually bn:00114357r;0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 
entirely bn:00114203r;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
human bn:00104385a;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
conceptual bn:00100194a;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
economy bn:00029678n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
substates bn:00964536n;0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 
marriage bn:00053107n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
elementary bn:00102112a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
waive bn:00088469v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
synchronization bn:00075696n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fully bn:00115474r;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
potential bn:00030159n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
attempt bn:00006997n;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
proof method bn:00053828n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sequence diagram bn:01050212n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
supplied bn:00088643v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
shutting bn:00087812v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
conditional bn:00100214a;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
terminal bn:00100203a;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
coin bn:00020497n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
markov chain bn:00053487n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
semanticist bn:00070403n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cooperation bn:00022452n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
communication channels bn:00017685n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
handshake bn:00042803n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
acting bn:00082285v;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
undefined bn:00112563a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sight bn:00045979n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
defined bn:00086465v;0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 
instant bn:00099740a;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
intuition bn:00047307n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
wish bn:00080435n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
formal syntax bn:01042120n;0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
operational semantics bn:02057536n;0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
least common ancestor bn:03585687n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
definition bn:00025928n;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
ordered pair bn:00012597n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
condition c bn:00675915n;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
error bn:00031485n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
analyzing bn:00082596v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
appropriate bn:00097398a;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
final result bn:00034520n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
computing bn:00084373v;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
exception bn:03416394n;0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
hardware bn:00021480n;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
papers bn:00028015n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
claim bn:00019404n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
read bn:00066357n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
stepwise refinement bn:03218093n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
executable bn:00102521a;0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
executable code bn:00058456n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
diagramming bn:00086769v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
communicating finite-state machines bn:13947856n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
message queued bn:03175133n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
solving bn:00088162v;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
put forward bn:00091870v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
group bn:00041942n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relatively bn:00114784r;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
augmented transition network bn:01129697n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
recursive bn:00109560a;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
subroutines bn:00036826n;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
concentrate bn:00021536n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
data bn:00025314n;0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
subset bn:00074971n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
accumulated bn:00082846v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
unavailability bn:03156444n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
encompassing bn:00085497v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
applicable bn:00097372a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
petri net bn:01557438n;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
characteristic bn:00099532a;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
availability bn:00000670n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
yardstick bn:00081841n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
assess bn:00082720v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
explicitly bn:00115285r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sender bn:00070465n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
listening bn:00089280v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
listener bn:00007019n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
implement bn:00084595v;0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
find out bn:00082811v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
more central bn:00099258a;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
jackson bn:00047836n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
respect bn:00031654n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
present bn:00108977a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
inherent bn:00098994a;0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
implicitly bn:00115770r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
expressive bn:00102608a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
expressive power bn:03234063n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
practical bn:00108880a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
threads bn:03212986n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
conceive bn:00083370v;0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
upper bn:00113425a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
assertion bn:00001768n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concern bn:00021286n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
assignment statements bn:02806034n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
compiled bn:00085470v;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
compiler bn:00021344n;0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
impossible bn:00104687a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ones bn:00000005n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
concurrent process bn:00658978n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
optimizing bn:00091186v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
airplane bn:00001697n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
demand bn:00026107n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
people bn:00061450n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electrical engineers bn:00029856n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
engineers bn:03098987n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
experts bn:00032322n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
weapon bn:00005704n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
maintainability bn:03148064n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
turnover bn:00030623n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
period bn:00036471n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
peer review bn:01750387n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
feedback bn:00033948n;0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electronics bn:00030270n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semiconductor bn:00070422n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
evaluation bn:00031973n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
weakness bn:00080285n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
modification bn:00003125n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
user-friendliness bn:02245863n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
stage bn:00061898n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
massachusetts bn:00009233n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interrelated bn:00105268a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
more sophisticated bn:00110922a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
deadlock bn:00025510n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
management bn:00053116n;0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
main function bn:00795524n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
graphical bn:00103741a;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
user documentation bn:02110172n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
visual language bn:02258047n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
man-machine interaction bn:01669278n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interaction bn:00036845n;0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
scientific paper bn:00060466n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
effort bn:00029899n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
appropriateness bn:00031709n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
exponential bn:00102598a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
scientist bn:00069680n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
workstation bn:00081620n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
algebraic bn:00096764a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
comprehending bn:00082727v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
complexity bn:00021383n;0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
game bn:00037180n;0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 
precise bn:00096293a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simple bn:00110649a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
equipment bn:00031322n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
higraphs bn:01691263n;0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 
communication systems bn:00076374n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hardware description language bn:03616229n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
quartz watch bn:01410946n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
manuscript bn:00044453n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hare bn:02520067n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
describing bn:00082233v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
department bn:00026310n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
g. bn:00036962n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
esterel bn:00464853n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
synchronous bn:00111581a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
synchronous programming language bn:01507916n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mathematical semantics bn:03354331n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
seminar bn:00070437n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
springer bn:00625366n;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
berlin bn:00010025n;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ccitt bn:00685445n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
international telecommunication union bn:00696527n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
finite bn:00102992a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
concurrent system bn:03822531n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
trans bn:03170765n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
prog bn:00005947n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lung bn:00052341n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
digital bn:00101372a;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
digital system bn:15182937n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
amsterdam bn:00003686n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
a.b. bn:00000193n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ieee bn:03378678n;0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
inform bn:00089724v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tech bn:00076330n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hamilton bn:00042724n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
higher bn:00104196a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
apt bn:00097382a;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
logic model bn:03744232n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
new york bn:00041611n;0; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 
proc bn:00016756n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
c.a.r. bn:03204308n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
c.a.r. hoare bn:03117463n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
communicating sequential processes bn:01819165n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
comm bn:01502944n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
comm. acm bn:02276368n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hopcroft bn:02352207n;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
ullman bn:16384500n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
automata theory bn:00152075n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
addison-wesley bn:00315874n;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
prentice-hall bn:03340052n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
nj bn:00037322n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
formal specification bn:01918343n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
bar-ilan university bn:03311448n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hebrew bn:00104078a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
programmer bn:00020358n;0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
r. milner bn:03830527n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
calculus bn:00014694n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
acm conference bn:02290302n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
logic programs bn:00051854n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
structured analysis bn:03644019n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distributed systems bn:03732241n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
p.t. bn:03112221n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
natural language bn:00056990n;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
article bn:00057551n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
topological bn:00112003a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
array bn:00005869n;1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
databases bn:00025333n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
knowledge representation bn:00931937n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
complex bn:02879112n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
formation bn:00059480n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
essentially bn:00114508r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sequel bn:02266432n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
euler circles bn:01769610n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
venn bn:00048353n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
venn diagrams bn:00079741n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
translation bn:00041943n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
points bn:15591207n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
eye bn:00032512n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distance bn:00027749n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
awareness bn:00007498n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
set element bn:00054282n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
binary relation bn:14410550n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mathematical bn:00106488a;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
class graph bn:01875393n;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
interest bn:00007020n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
elaborate bn:00086833v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
range bn:00045972n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dia bn:03799214n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gram bn:00049021n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
complexity class bn:03285168n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
support bn:03097081n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ships bn:00071103n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hypergraphs bn:01638243n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
database theory bn:00213344n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
arity bn:00005681n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
volume bn:00080229n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
number 5 bn:00000119n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
captured bn:00084508v;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
color bn:00020726n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
two-dimensional bn:00108654a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
curve bn:15961859n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simple closed curve bn:00048415n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
partition bn:02762159n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
plane bn:00062766n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
disjoint bn:03116369n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
inside bn:00046892n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
line bn:00051291n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
symbol bn:00075652n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
predicate bn:00064109n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ber bn:00226832n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
description bn:01244302n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
related bn:00109650a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cartesian product bn:00016309n;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
pose bn:00090224v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
formal bn:00100420a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entity bn:00031027n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
semantic bn:00110347a;1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 
dataflow diagrams bn:00543823n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
