X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
feuilles de style en cascade;0;0.0124971;0;0.0501139;0.0194932;0.011448;0;0;0;0.0120301;0;0;0.02169;0.0139621;0;0;0;0
fonctionnement;0;0.00190749;0;0;0.00318091;0;0;0;0;0.00173498;0;0.00181984;0;0;0;0;0;0
stratégie;0;0.000477555;0;0;0;0;0;0;0;0.000434311;0;0;0;0;0;0;0;0
feuille de style;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concept;0;0.00758653;0;0;0.0126034;0.00681576;0.0129136;0.0108401;0;0;0;0;0;0;0;0;0;0.00856073
abstrait;0;0.00380771;0.00466744;0;0;0.00341953;0;0;0;0;0;0.00363306;0;0;0;0;0;0.00429876
concrétisation;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sens;0;0.00759554;0;0;0;0.00596506;0;0;0;0.00625944;0;0;0.012357;0;0.00789545;0;0.0332103;0
double point;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
point-virgule;0;0.00380771;0;0;0;0.00341953;0;0.00544959;0;0;0;0.00363306;0;0;0.00437278;0;0;0
applicables;0;0.000477555;0;0;0;0;0;0.000684463;0;0;0;0;0;0;0;0;0;0
élément html;0;0.0150588;0;0;0.024893;0.0135392;0;0;0;0.0137133;0;0.0143756;0;0;0.0172646;0;0;0.0169761
contextuels;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rouge;0;0.0150588;0;0;0;0.0135392;0;0;0;0.0137133;0;0.0143756;0.0288678;0.01682;0;0;0;0.0169761
éditeur de texte;0;0.00190749;0;0;0;0.0017127;0;0;0;0.00173498;0;0;0;0;0;0;0;0.00215401
pixel;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
signaler;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0.000534331;0;0;0;0
éditeur html;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
partielle;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0.000548697;0;0;0
tenir compte;0;0.000954654;0;0;0;0;0;0;0;0;0;0.000910747;0;0;0.00109679;0;0;0
