;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
interactivité bn:03489302n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
invoquer bn:00082770v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semaine bn:00043484n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
sommes bn:00082322v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
concaténation bn:03489514n;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 
souplesse bn:00035191n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
client mail bn:03183100n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
travers bn:00042404n;1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 
e-mail bn:00029345n;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
mailto bn:03829206n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intéressant bn:00105276a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
clic bn:00019758n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
minimale bn:00106755a;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
avoir lieu bn:00085337v;1; 0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
adresse email bn:02312462n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
fourniture bn:00075322n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mise bn:00016287n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
list bn:04720346n;1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 
renard bn:00036129n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sports bn:00006759n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 
tennis bn:00050287n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
basket bn:00008889n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tulipe bn:00078559n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
applications web bn:02246184n;1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 
mode bn:00033729n;1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
w3c bn:02673666n;1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 
dtd bn:15232677n;1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 
logiciel bn:00021497n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
open source bn:01157392n;1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
statiques bn:00111112a;1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
configuration bn:03088982n;1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 
évidente bn:00097350a;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
exécutable bn:00102521a;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
système d bn:04836299n;1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
microsoft bn:01165400n;1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 1; 1; 0; 
microsoft internet information server bn:01364468n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
choix bn:00018661n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
programmation procédurale bn:01706415n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
procédurale bn:00109049a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
httpd.conf bn:03668763n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
common gateway interface bn:03588331n;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
disponibles bn:00097846a;1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 
fichier pdf bn:01745594n;1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 
animation flash bn:00890589n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
xml bn:02771436n;1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
sauve bn:00093279v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
système de fichiers bn:00034429n;1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
davantage bn:00116284r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interbase bn:00968039n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
postgresql bn:01709156n;1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
ibm db2 bn:00637255n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
odbc bn:14228731n;1; 0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
informix bn:03306725n;1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
ingres bn:03724918n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
séparateurs bn:03371342n;1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
fin de ligne bn:00051314n;1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
signe dollar bn:00028116n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
barre oblique bn:00026814n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
oblique bn:00107678a;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
originale bn:00107979a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entiers bn:00047009n;1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 
globale bn:00103624a;1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
dehors bn:00114309r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
illustre bn:00110549a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
variable globale bn:02011863n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
portee bn:03460088n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
web bn:00080772n;1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
décorer bn:00082387v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
caractère de soulignement bn:14528514n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
couple bn:00012597n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 1; 1; 
extérieur bn:03882811n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
méthode bn:01641329n;1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
détails bn:00067417n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
identifiables bn:00104510a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
adresse ip bn:00706454n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
entité html bn:01327413n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
lettre bn:00003057n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
quelconque bn:00097433a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
programmeur bn:00020358n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
nombre à virgule flottante bn:00035278n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
ainsi bn:00117173r;1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
chaîne vide bn:03716205n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
base décimale bn:00025700n;1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
hexadécimal bn:00104145a;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
octal bn:01534404n;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
environ bn:00114074r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bits bn:00010731n;1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
décimaux bn:15004607n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
répandre bn:00084556v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ordre de grandeur bn:00052758n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
64 bit bn:00695610n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
décimale bn:02649777n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
échapper bn:00083961v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
école bn:00069619n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
inverse bn:00105377a;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
barre oblique inverse bn:00988551n;1; 0; 0; 1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
langage de programmation bn:00064652n;1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
classiques bn:00019566n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
concert bn:00021559n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
incrémentation bn:01936826n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
opérateur logiques bn:00051853n;1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
doute bn:00028425n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
conditionnelle bn:00100214a;1; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
donner naissance à bn:00083336v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
division bn:00027919n;1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
numérique bn:00107649a;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 
valeur logique bn:00855623n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bloc bn:03098513n;1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
intéresse bn:00089814v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
divisible bn:00101643a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
instruction switch bn:01071927n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
excessif bn:00102500a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
quitter bn:00086604v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dimanche bn:00028190n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
moment présent bn:00043807n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
secondes bn:00068672n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
janvier bn:00047960n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
foreach bn:03463379n;1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
incomplet bn:00104851a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
invoquer bn:00085009v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
femme bn:00001530n;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
femme mariée bn:00053531n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
pouvoir bn:00084450v;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
abricot bn:00005174n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bmw bn:03091163n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
peugeot bn:03339300n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
renault bn:00861552n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alpha bn:00096877a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
structure de donnée bn:00025330n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
parcourir bn:00088968v;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
boucle for bn:03237322n;1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 
initialisation bn:00046781n;1; 0; 1; 1; 1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
identificateur bn:00045822n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mot bn:00081546n;1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 
mot de passe bn:00023218n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 
correctement bn:00114335r;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
consacrer à bn:00085427v;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
démarrage bn:03140436n;1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
code bn:00084976v;1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 
sorte bn:00035907n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
webmaster bn:00080788n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
clôturer bn:00085166v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bénéficier bn:00083413v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
information bn:00046705n;1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 
connexion bn:00021902n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relationnelles bn:00109653a;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
langage d bn:01781054n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interrogation bn:00047208n;1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
structured query language bn:02266432n;1; 0; 0; 1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 
marché bn:00053458n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
msql bn:00466439n;1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
matériel bn:00021480n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
order bn:02240223n;1; 0; 1; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
ordre alphabétique bn:00003059n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
renvoyer bn:00093609v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interviews bn:00047238n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
local bn:00046665n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
caractérisent bn:00083713v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
isbn bn:00706122n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
verbes bn:00079778n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
aussi bn:00115484r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
varier bn:00082554v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
contradictoire bn:00100247a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
téléphone bn:00062020n;1; 0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
lieu de travail bn:04726566n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bureau bn:00001961n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
final bn:01755798n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
loin bn:00114455r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
clé étrangère bn:01944370n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
complexes bn:00100148a;1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 
relation binaires bn:14410550n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
etudiants bn:00029806n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
focaliser bn:00088404v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
vitesse bn:00073258n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
vitesse de traitement bn:00050126n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
automatique bn:00097823a;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
varchar bn:01838409n;1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 
longueur bn:00050662n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
stocker bn:00095635v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
ordre bn:00020945n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
premier bn:00034738n;1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
time bn:03389905n;1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 
timestamp bn:03603649n;1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 1; 1; 
program files bn:14876712n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
root bn:00168023n;1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
utilisateur root bn:01998267n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
administrateur bn:00075765n;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
désinstallation bn:03478637n;1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
easyphp bn:14837849n;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
casse bn:03225002n;1; 0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 
niveau logique bn:03372646n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
séquence bn:00070574n;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 
sauvegarder bn:00093281v;1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 
supprimer bn:00086081v;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
évoquer bn:00092425v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
clé primaire bn:03542434n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
structure bn:00094491v;1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
insert bn:03795444n;1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 
existence bn:00009676n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 
contrainte bn:00022062n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
delete bn:00941697n;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 
mise à jour bn:15364261n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 
générateur bn:03384822n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
générateur de code bn:01151877n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
connaissance bn:00020452n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
menu contextuel bn:03615391n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
visualiser bn:00095548v;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fines bn:15413867n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
penser à bn:00089804v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
