X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
deep bn:00101054a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
simple bn:00098053a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
atomic bn:00097696a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
interaction diagram bn:02571962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
activity diagrams bn:02627321n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
deterministic finite state automata bn:03499526n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
superstate bn:03656095n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0
fsa bn:03013778n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
basic bn:00098103a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
fsms bn:03431506n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
state actions bn:00955439n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
