;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
façon bn:00033729n;1; 1; 1; 0; 1; 1; 0; 
path bn:01205256n;1; 1; 1; 0; 1; 1; 1; 
authentification bn:03253409n;1; 1; 1; 0; 1; 1; 1; 
banque bn:00008364n;1; 1; 1; 0; 1; 1; 1; 
nobody bn:03500369n;1; 1; 1; 0; 1; 1; 1; 
basename bn:01749628n;1; 1; 1; 0; 1; 1; 1; 
dirname bn:00242975n;1; 1; 1; 0; 1; 1; 1; 
touch bn:03178622n;1; 1; 1; 0; 1; 1; 1; 
copy bn:14086525n;1; 1; 1; 0; 1; 1; 1; 
rename bn:00342646n;1; 1; 1; 0; 1; 1; 1; 
umask bn:03851470n;1; 1; 1; 0; 1; 1; 1; 
ascii bn:00003473n;1; 1; 1; 0; 1; 1; 1; 
friends bn:00257421n;1; 1; 1; 0; 1; 1; 1; 
logiciel libre bn:00182120n;1; 1; 1; 1; 0; 1; 1; 
conception de site web bn:02763125n;1; 1; 1; 1; 0; 1; 1; 
formulaire web bn:14352118n;1; 1; 1; 1; 0; 1; 1; 
envoyé bn:00030563n;1; 1; 1; 1; 0; 1; 1; 
inutile bn:00113457a;1; 1; 1; 1; 0; 1; 1; 
numérique bn:00107649a;1; 1; 1; 1; 0; 1; 0; 
age bn:02104510n;1; 1; 1; 1; 0; 1; 1; 
marie bn:00090675v;1; 1; 1; 1; 0; 1; 1; 
italie bn:00047705n;1; 1; 1; 1; 0; 1; 1; 
couple bn:00012597n;1; 1; 1; 1; 0; 1; 1; 
variables locales bn:00958409n;1; 1; 1; 1; 0; 1; 1; 
locales bn:03080237n;1; 1; 1; 1; 0; 1; 1; 
stocker bn:00094400v;1; 1; 1; 1; 0; 1; 1; 
variable globale bn:02011863n;1; 1; 1; 1; 0; 1; 1; 
autre bn:00108013a;1; 1; 1; 1; 0; 1; 1; 
généralité bn:00041249n;1; 1; 1; 1; 0; 1; 1; 
provenance bn:00010687n;1; 1; 1; 1; 0; 1; 1; 
files bn:00065682n;1; 1; 1; 1; 0; 1; 1; 
attribution bn:00063814n;1; 1; 1; 1; 0; 1; 1; 
accéder bn:00082209v;1; 1; 1; 1; 0; 1; 0; 
valeur bn:00079508n;1; 1; 1; 1; 0; 1; 1; 
visite bn:00080112n;1; 1; 1; 1; 0; 1; 1; 
màj bn:15364261n;1; 1; 1; 1; 0; 1; 1; 
site web dynamique bn:02246184n;1; 1; 1; 1; 1; 0; 0; 
invisible bn:00105385a;1; 1; 1; 1; 1; 0; 1; 
final bn:01755798n;1; 1; 1; 1; 1; 0; 0; 
type de valeur bn:00253515n;1; 1; 1; 1; 1; 0; 1; 
message bn:00521573n;1; 1; 1; 1; 1; 0; 1; 
associa bn:00085315v;1; 1; 1; 1; 1; 0; 1; 
opéra bn:00059107n;1; 1; 1; 1; 1; 0; 1; 
manager bn:14456945n;1; 1; 1; 1; 1; 0; 1; 
champ bn:00034274n;1; 1; 1; 1; 1; 0; 1; 
limiter bn:00086468v;1; 1; 1; 1; 1; 0; 1; 
man bn:15327088n;1; 1; 1; 1; 1; 0; 1; 
set bn:04928161n;1; 1; 1; 1; 1; 0; 0; 
être bn:00004222n;1; 1; 1; 1; 1; 0; 1; 
ar bn:03237564n;1; 1; 1; 1; 1; 0; 1; 
agit bn:00082285v;1; 1; 1; 1; 1; 0; 1; 
indépendante bn:00104929a;1; 1; 1; 1; 1; 0; 1; 
page bn:00091387v;1; 1; 1; 1; 1; 0; 1; 
ici bn:00116504r;1; 1; 1; 1; 1; 0; 1; 
nouvelle ligne bn:00051314n;1; 1; 1; 1; 1; 0; 1; 
tim bn:14744972n;1; 1; 1; 1; 1; 1; 0; 
tim berners-lee bn:02359969n;1; 1; 1; 1; 1; 1; 0; 
héberger bn:00082216v;1; 1; 1; 1; 1; 1; 0; 
messagerie bn:00030257n;1; 1; 1; 1; 1; 1; 0; 
messagerie instantanée bn:03364059n;1; 1; 1; 1; 1; 1; 0; 
styler bn:00042550n;1; 1; 1; 1; 1; 1; 0; 
variable de type bn:02158332n;1; 1; 1; 1; 1; 1; 0; 
base 10 bn:00025700n;1; 1; 1; 1; 1; 1; 0; 
affiche bn:15173511n;1; 1; 1; 1; 1; 1; 0; 
globales bn:00103624a;1; 1; 1; 1; 1; 1; 0; 
accepter bn:00082204v;1; 1; 1; 1; 1; 1; 0; 
cappuccino bn:01189604n;1; 1; 1; 1; 1; 1; 0; 
type de retour bn:03354146n;1; 1; 1; 1; 1; 1; 0; 
récursives bn:00109560a;1; 1; 1; 1; 1; 1; 0; 
erreur de programmation bn:00064654n;1; 1; 1; 1; 1; 1; 0; 
contraire bn:00100398a;1; 1; 1; 1; 1; 1; 0; 
nombre premier bn:00064389n;1; 1; 1; 1; 1; 1; 0; 
coordonnées bn:00022459n;1; 1; 1; 1; 1; 1; 0; 
français bn:00036426n;1; 1; 1; 1; 1; 1; 0; 
confidentiel bn:00100230a;1; 1; 1; 1; 1; 1; 0; 
réutiliser bn:00092558v;1; 1; 1; 1; 1; 1; 0; 
endroit bn:00062699n;1; 1; 1; 1; 1; 1; 0; 
survient bn:00085337v;1; 1; 1; 1; 1; 1; 0; 
ainsi bn:00117173r;1; 1; 1; 1; 1; 1; 0; 
démarrer bn:00083342v;1; 1; 1; 1; 1; 1; 0; 
infinité bn:00012426n;1; 1; 1; 1; 1; 1; 0; 
moindre bn:00105825a;1; 1; 1; 1; 1; 1; 0; 
avant bn:00035855n;1; 1; 1; 1; 1; 1; 0; 
seconde bn:00068672n;1; 1; 1; 1; 1; 1; 0; 
déconnexion bn:00027504n;1; 1; 1; 1; 1; 1; 0; 
visible bn:00110277a;1; 1; 1; 1; 1; 1; 0; 
intrinsèque bn:00105350a;1; 1; 1; 1; 1; 1; 0; 
sommes bn:00082322v;1; 1; 1; 1; 1; 1; 0; 
parent bn:00060643n;1; 1; 1; 1; 1; 1; 0; 
mère bn:00034027n;1; 1; 1; 1; 1; 1; 0; 
classe abstraite bn:03110061n;1; 1; 1; 1; 1; 1; 0; 
abstraite bn:00096212a;1; 1; 1; 1; 1; 1; 0; 
implémentation bn:00016287n;1; 1; 1; 1; 1; 1; 0; 
abstraire bn:00082180v;1; 1; 1; 1; 1; 1; 0; 
dérivée bn:00026447n;1; 1; 1; 1; 1; 1; 0; 
firebird bn:02246711n;1; 1; 1; 1; 1; 1; 0; 
ingres bn:03724918n;1; 1; 1; 1; 1; 1; 0; 
hsqldb bn:00229377n;1; 1; 1; 1; 1; 1; 0; 
oracle database bn:02591895n;1; 1; 1; 1; 1; 1; 0; 
db2 bn:00637255n;1; 1; 1; 1; 1; 1; 0; 
maxdb bn:00244294n;1; 1; 1; 1; 1; 1; 0; 
informix bn:03306725n;1; 1; 1; 1; 1; 1; 0; 
sybase bn:01257629n;1; 1; 1; 1; 1; 1; 0; 
zodb bn:02283783n;1; 1; 1; 1; 1; 1; 0; 
db4o bn:01389836n;1; 1; 1; 1; 1; 1; 0; 
berkeley db bn:03239968n;1; 1; 1; 1; 1; 1; 0; 
nosql bn:01727553n;1; 1; 1; 1; 1; 1; 0; 
cassandra bn:01090316n;1; 1; 1; 1; 1; 1; 0; 
bigtable bn:03415846n;1; 1; 1; 1; 1; 1; 0; 
couchdb bn:00542118n;1; 1; 1; 1; 1; 1; 0; 
hbase bn:14809379n;1; 1; 1; 1; 1; 1; 0; 
leveldb bn:02609794n;1; 1; 1; 1; 1; 1; 0; 
root bn:00168023n;1; 1; 1; 1; 1; 1; 0; 
libérer bn:00090300v;1; 1; 1; 1; 1; 1; 0; 
supprimer bn:00086081v;1; 1; 1; 1; 1; 1; 0; 
example.com bn:00329278n;1; 1; 1; 1; 1; 1; 0; 
aller bn:00040833n;1; 1; 1; 1; 1; 1; 0; 
électricité bn:00030192n;1; 1; 1; 1; 1; 1; 0; 
système d bn:04836299n;1; 1; 1; 1; 1; 1; 0; 
verrou bn:01788633n;1; 1; 1; 1; 1; 1; 0; 
panne bn:00059753n;1; 1; 1; 1; 1; 1; 0; 
gérer bn:00084527v;1; 1; 1; 1; 1; 1; 0; 
populaire bn:00108807a;1; 1; 1; 1; 1; 1; 0; 
ouvrir bn:00084089v;1; 1; 1; 1; 1; 1; 0; 
supporter bn:00083226v;1; 1; 1; 1; 1; 1; 0; 
null bn:15898583n;1; 1; 1; 1; 1; 1; 0; 
specification bn:00073217n;1; 1; 1; 1; 1; 1; 0; 
cours en ligne bn:03617678n;1; 1; 1; 1; 1; 1; 0; 
