;C3.csv;C5.csv;C6.csv
jeudi bn:00076744n;0; 1; 1; 
casse bn:03225002n;0; 1; 0; 
query_string bn:03583474n;0; 1; 0; 
externes bn:00102624a;0; 1; 0; 
racine bn:00008793n;0; 1; 0; 
signaler bn:00071525n;0; 1; 0; 
type de retour bn:03354146n;0; 1; 0; 
etudiant bn:00029806n;0; 1; 1; 
setter bn:00021412n;0; 1; 0; 
attribut bn:00007068n;0; 1; 0; 
espace de nommage bn:01468325n;0; 1; 0; 
bleu bn:00011477n;0; 1; 0; 
set bn:00062714n;0; 1; 0; 
diff bn:16709776n;0; 1; 0; 
ball bn:03442687n;0; 1; 0; 
être bn:00004222n;0; 1; 1; 
interrogation bn:00047208n;0; 1; 0; 
prenom bn:15996005n;0; 1; 1; 
jeanne bn:03888564n;0; 1; 0; 
durand bn:04919129n;0; 1; 0; 
andreas bn:02288585n;0; 1; 0; 
dalton bn:00025070n;0; 1; 0; 
fichier css bn:01642119n;0; 1; 0; 
auto bn:00007309n;0; 1; 0; 
tr bn:03561884n;0; 1; 0; 
puce bn:03415182n;0; 1; 0; 
clef primaire bn:03542434n;0; 1; 1; 
franz kafka bn:00036274n;0; 1; 0; 
cotes bn:01852996n;0; 1; 0; 
systématiquement bn:00114825r;0; 1; 0; 
injections bn:03211312n;0; 1; 0; 
injections sql bn:03319192n;0; 1; 0; 
essayer bn:00082844v;0; 1; 1; 
code malveillant bn:01363738n;0; 1; 0; 
faille de sécurité bn:00080285n;0; 1; 0; 
html5 bn:03675085n;0; 1; 0; 
être valables bn:00082706v;0; 1; 0; 
injection de code bn:00184104n;0; 1; 0; 
système d’information bn:00025331n;0; 1; 0; 
credit bn:00022100n;0; 1; 0; 
depot bn:03854733n;0; 1; 1; 
commit bn:00085426v;0; 1; 0; 
réutilisé bn:00092558v;0; 1; 1; 
printf bn:03243783n;0; 1; 0; 
action bn:00001127n;0; 1; 0; 
courant bn:00024510n;0; 1; 0; 
href bn:00045513n;0; 1; 1; 
csrf bn:14277211n;0; 1; 0; 
temporaire bn:00105439a;0; 1; 0; 
django bn:01551307n;0; 1; 0; 
flask bn:14887813n;0; 1; 0; 
token bn:00050895n;0; 1; 0; 
svg bn:02136503n;0; 1; 0; 
mathml bn:03313895n;0; 1; 0; 
document object model bn:03762301n;0; 1; 0; 
document xml bn:04725671n;0; 1; 0; 
bas niveau bn:01163629n;0; 1; 0; 
programme tv bn:00076429n;0; 1; 0; 
tv bn:00076373n;0; 1; 0; 
debut bn:01247692n;0; 1; 0; 
smith bn:15137150n;0; 1; 0; 
realisateur bn:00027369n;0; 1; 0; 
dutchman bn:03862910n;0; 1; 0; 
johnny guitar bn:00554585n;0; 1; 0; 
guitar bn:00281486n;0; 1; 0; 
woman under the influence bn:03640247n;0; 1; 0; 
victor/victoria bn:01767778n;0; 1; 0; 
simplexml bn:15053361n;0; 1; 0; 
the flying dutchman bn:16075739n;0; 1; 0; 
jour de fête bn:15946696n;0; 1; 0; 
controleur bn:00022289n;0; 1; 0; 
composants bn:00021396n;0; 1; 0; 
version bn:00047114n;0; 1; 1; 
framework web bn:01653710n;0; 1; 0; 
cd bn:00016915n;0; 1; 1; 
path bn:01205256n;0; 1; 0; 
menu bn:00021485n;0; 1; 1; 
poisson bn:00062612n;0; 1; 0; 
catch bn:00037180n;0; 1; 0; 
h2 bn:02803535n;0; 1; 0; 
