X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
sql bn:02266432n ; 0 ; 0 ; 0.130435 ; 0 ; 0.142157 ; 0.137255 ; 0 ; 0.198529 ; 0.140097 ; 0.13913
concret bn:00100206a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0.0111732 ; 0
header bn:00043309n ; 0 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
head bn:02338897n ; 0 ; 0 ; 0 ; 0.0547945 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0714286 ; 0.0432432 ; 0.0379147
w3c bn:02673666n ; 0 ; 0 ; 0.0837696 ; 0.103896 ; 0 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
dtd bn:15232677n ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
firefox bn:01387235n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
internet explorer bn:17346309n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
internet explorer 9 bn:00863156n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
moteur bn:00030850n ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
recherche bn:00067280n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
descriptions bn:04723965n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
précision bn:00641989n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
paragraphe bn:00060556n ; 0 ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
h2 bn:02803535n ; 0 ; 0 ; 0 ; 0.028169 ; 0.0224719 ; 0 ; 0 ; 0 ; 0 ; 0.0193237
terme technique bn:00048027n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
tr bn:03561884n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
insertion bn:02234787n ; 0 ; 0 ; 0.0223464 ; 0.028169 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0193237
img bn:02450504n ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
infobulle bn:03850072n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
balise html bn:02104867n ; 0 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
js bn:15539067n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
css bn:00056944n ; 0 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
dns bn:03714295n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
logique métier bn:00795795n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
port 443 bn:00560835n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
host bn:01846442n ; 0 ; 0 ; 0 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0.133333 ; 0.0829016 ; 0.0730594
uniform resource identifier bn:02569519n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
ipv4 bn:00749818n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
ipv6 bn:00749926n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
visiter bn:00084426v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
nom de domaine bn:00028143n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
