X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
domaine bn:03853489n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
sous-domaines bn:03725510n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
common gateway interface bn:03588331n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
gateway bn:03381108n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
lire bn:00066357n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
langage de programmation bn:00064652n ; 0 ; 0.0434783 ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
langage de script bn:01431715n ; 0 ; 0.173913 ; 0.163043 ; 0.152174 ; 0.152174 ; 0 ; 0.152174
côté serveur bn:03816678n ; 0 ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783
open source bn:01157392n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
grand nombre bn:14223782n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
facebook bn:03624775n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
wikipédia bn:03288118n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
opérateur bn:16281811n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
installation bn:03478637n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
mamp bn:03197470n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
éditeur de texte bn:00076736n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
macos bn:01415427n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
windows bn:00081305n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
emacs bn:01156253n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
nano bn:01478473n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
langage c bn:00014377n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
attribut bn:00007068n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
integer bn:00691555n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
super bn:17336345n ; 0 ; 0.0217391 ; 0 ; 0 ; 0.0217391 ; 0 ; 0
type bn:00016413n ; 0 ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0.0869565
concaténation bn:03489514n ; 0 ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783
opérateur logiques bn:00051853n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
multiplication bn:00056300n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
division bn:00027919n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
