X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
terme technique bn:00048027n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
tr bn:03561884n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
insertion bn:02234787n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
img bn:02450504n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
infobulle bn:03850072n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
balise html bn:02104867n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
js bn:15539067n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
css bn:00056944n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
dns bn:03714295n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
logique métier bn:00795795n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
port 443 bn:00560835n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
host bn:01846442n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
uniform resource identifier bn:02569519n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
ipv4 bn:00749818n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
ipv6 bn:00749926n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
visiter bn:00084426v ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
nom de domaine bn:00028143n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
domaine bn:03853489n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
sous-domaines bn:03725510n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
configuration bn:03088982n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
