X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
personne bn:00046516n ; 0 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0.150943 ; 0.142857
prenom bn:15996005n ; 0.189655 ; 0.222222 ; 0 ; 0 ; 0.209677 ; 0.2 ; 0.209677
structure de contrôle bn:00047734n ; 0.0869565 ; 0 ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0769231
définition bn:00025928n ; 0.16 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0 ; 0.142857
initialiser bn:00089742v ; 0.0869565 ; 0 ; 0.0689655 ; 0 ; 0.0769231 ; 0 ; 0
dépendre bn:00086606v ; 0.0454545 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0
méthode post bn:00045088n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fermeture bn:16858148n ; 0.206897 ; 0.219178 ; 0 ; 0.21875 ; 0 ; 0.196721 ; 0.225806
passwd bn:14874750n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
phase bn:00061898n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
être utile bn:00085368v ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
boucle while bn:03237310n ; 0.12 ; 0.119403 ; 0 ; 0 ; 0 ; 0.113208 ; 0.127273
jour bn:00000086n ; 0.0454545 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0
euro bn:00031888n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
etc bn:00114282r ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
programmation bn:00021493n ; 0.275862 ; 0.207792 ; 0.228571 ; 0.242424 ; 0 ; 0 ; 0.25
site bn:00047172n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
détruire bn:00084204v ; 0.14 ; 0.117647 ; 0 ; 0 ; 0.125 ; 0 ; 0.125
second bn:00105773a ; 0.0454545 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.04
ordinateur bn:00021464n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
développement web bn:03446093n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
organisation bn:00059480n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
