X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
tr bn:03561884n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
insertion bn:02234787n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
img bn:02450504n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
infobulle bn:03850072n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
balise html bn:02104867n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
js bn:15539067n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
css bn:00056944n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
dns bn:03714295n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
logique métier bn:00795795n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
port 443 bn:00560835n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
host bn:01846442n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
uniform resource identifier bn:02569519n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
ipv4 bn:00749818n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
ipv6 bn:00749926n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
visiter bn:00084426v ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
nom de domaine bn:00028143n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
domaine bn:03853489n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
sous-domaines bn:03725510n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
common gateway interface bn:03588331n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
gateway bn:03381108n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
lire bn:00066357n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
langage de programmation bn:00064652n ; 0 ; 0.0588235 ; 0.0816327 ; 0.0833333 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
langage de script bn:01431715n ; 0 ; 0.205128 ; 0.25 ; 0.233333 ; 0.241379 ; 0 ; 0.237288
côté serveur bn:03816678n ; 0 ; 0.0588235 ; 0.0816327 ; 0 ; 0 ; 0 ; 0.0851064
open source bn:01157392n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
grand nombre bn:14223782n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
facebook bn:03624775n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
wikipédia bn:03288118n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
opérateur bn:16281811n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
installation bn:03478637n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
mamp bn:03197470n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
éditeur de texte bn:00076736n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
macos bn:01415427n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
windows bn:00081305n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
emacs bn:01156253n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
nano bn:01478473n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
langage c bn:00014377n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
attribut bn:00007068n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
integer bn:00691555n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
super bn:17336345n ; 0 ; 0.030303 ; 0 ; 0 ; 0.0454545 ; 0 ; 0
type bn:00016413n ; 0 ; 0.111111 ; 0.150943 ; 0 ; 0.16 ; 0 ; 0.156863
concaténation bn:03489514n ; 0 ; 0.0588235 ; 0.0816327 ; 0 ; 0 ; 0 ; 0.0851064
opérateur logiques bn:00051853n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
multiplication bn:00056300n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
division bn:00027919n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
valeur numérique bn:00000451n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
comparaison bn:00021304n ; 0 ; 0.114286 ; 0.113208 ; 0 ; 0 ; 0.142857 ; 0.14
égal bn:00102336a ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
inférieur bn:00035700n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
mathématiques bn:00106488a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
extraction bn:04915718n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
procédural bn:00109049a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
capables bn:00099215a ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
tableau associatifs bn:03848413n ; 0 ; 0.030303 ; 0 ; 0 ; 0.0454545 ; 0 ; 0
hash bn:00583146n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
sizeof bn:03205994n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
foreach bn:03463379n ; 0 ; 0.4 ; 0.328571 ; 0.314286 ; 0.323529 ; 0.28125 ; 0.338235
cle bn:04756252n ; 0 ; 0.216216 ; 0.20339 ; 0.206897 ; 0 ; 0.2 ; 0.232143
rappel bn:03490040n ; 0 ; 0.112676 ; 0 ; 0.134615 ; 0.14 ; 0 ; 0.137255
serveur bn:00044916n ; 0 ; 0.216216 ; 0.20339 ; 0.206897 ; 0 ; 0.2 ; 0.232143
unix bn:00079165n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
page bn:00060158n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
communication bn:00021221n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
possibilité bn:00045632n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
interpréter bn:00089840v ; 0 ; 0.0597015 ; 0.0612245 ; 0 ; 0 ; 0.0789474 ; 0
linux bn:00051427n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
line bn:16701562n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
rows bn:03611246n ; 0 ; 0.0588235 ; 0.0816327 ; 0 ; 0 ; 0 ; 0.0851064
query string bn:03583474n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
clique bn:00015038n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
analyser bn:15790106n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
variables bn:00079583n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
transaction bn:01403911n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
femme bn:00001530n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
côté client bn:03163702n ; 0 ; 0.030303 ; 0.0425532 ; 0 ; 0 ; 0 ; 0
ok bn:00058395n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
