X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
nom de domaine;0;0;0;0;0;0;0;0;0;0.00316456
domaine;0;0;0;0;0;0;0;0;0;0.00316456
sous-domaines;0;0;0;0;0;0;0;0;0;0.00316456
configuration;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
common gateway interface;0;0;0;0;0;0.00943396;0;0;0;0.00630915
gateway;0;0;0;0;0;0;0;0;0;0.00316456
lire;0;0;0.106312;0.142222;0.114286;0.132231;0;0;0.135593;0.092219
langage de programmation;0;0.133333;0.106312;0.142222;0.114286;0.132231;0;0;0;0.092219
paris;0;0;0;0;0;0;0;0.0272109;0.0192308;0.0125392
langage de script;0;0.254019;0.299712;0.25;0.268437;0.272727;0.230189;0;0.261438;0.239401
côté serveur;0;0.133333;0.106312;0;0.114286;0.132231;0;0;0.135593;0.092219
open source;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
grand nombre;0;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0.0247678
facebook;0;0;0;0;0.015873;0;0;0;0.0192308;0.0125392
wikipédia;0;0;0;0;0;0;0;0;0.00970874;0.00630915
opérateur;0;0;0.014652;0;0;0;0;0.0272109;0;0.0125392
installation;0;0;0;0;0.008;0;0;0;0;0.00630915
wamp;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
mamp;0;0;0;0;0.015873;0;0;0;0.0192308;0.0125392
éditeur de texte;0;0;0;0;0;0;0;0;0.00970874;0.00630915
macos;0;0;0.014652;0;0.015873;0;0;0;0;0.0125392
windows;0;0;0.0288809;0;0.03125;0.0366972;0;0;0;0.0247678
emacs;0;0;0;0;0;0.00943396;0;0;0;0.00630915
nano;0;0;0;0;0;0;0;0;0;0.00316456
langage c;0;0;0.0288809;0.039801;0;0;0;0;0.0377358;0.0247678
attribut;0;0;0;0;0.015873;0;0;0;0.0192308;0.0125392
integer;0;0;0.0491228;0;0.0570342;0.0619469;0;0.0880503;0;0.0486322
super;0;0;0;0;0;0;0.0136986;0;0;0.00630915
type;0;0.171004;0.18612;0;0.171617;0.191729;0.206731;0;0.191571;0.149864
concaténation;0;0.0714286;0;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
opérateur logiques;0;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0.0247678
multiplication;0;0;0.106312;0.142222;0.114286;0.132231;0;0;0.135593;0.092219
division;0;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0.0247678
valeur numérique;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
comparaison;0;0.0535714;0.04947;0;0;0;0;0.0754717;0.0642202;0.0489297
égal;0;0;0.0561404;0.076555;0;0.0707965;0;0;0.0727273;0.0483384
inférieur;0;0;0;0;0;0.0186916;0;0;0.0192308;0.0125392
mathématiques;0;0;0;0;0;0;0;0;0;0.00316456
extraction;0;0;0;0;0;0;0;0;0;0.00316456
procédural;0;0;0.00738007;0;0;0;0;0;0;0.00630915
capables;0;0;0;0.0102564;0;0;0;0;0;0.00630915
tableau associatifs;0;0;0;0;0.015873;0;0.027027;0;0;0.0125392
hash;0;0;0.0288809;0.039801;0.03125;0;0;0;0;0.0247678
sizeof;0;0;0;0;0;0;0;0;0.00970874;0.00630915
foreach;0;0.307479;0.388021;0.305714;0.343832;0.309392;0.247706;0.252308;0.344828;0.408759
cle;0;0.101695;0.0881356;0.108597;0;0;0;0.114286;0.113043;0.0955224
rappel;0;0;0.173502;0.165354;0.173913;0.181132;0.1875;0;0.185328;0.148352
serveur;0;0.26129;0.245179;0.274576;0.26393;0.263666;0;0.234848;0.29;0.296875
unix;0;0;0.014652;0;0.015873;0;0;0;0;0.0125392
page;0;0;0.00738007;0;0;0;0;0;0;0.00630915
communication;0;0;0;0;0.015873;0.0186916;0;0;0;0.0125392
possibilité;0;0;0;0.076555;0.0606061;0.0707965;0;0;0.0727273;0.0483384
interpréter;0;0.0277778;0;0;0.027451;0;0;0.0397351;0;0.0249221
linux;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
line;0;0;0;0;0;0;0;0;0;0.00316456
rows;0;0.037037;0;0;0;0.0366972;0;0;0.0377358;0.0247678
query string;0;0;0;0;0.008;0;0;0;0;0.00630915
clique;0;0;0;0;0;0;0;0;0;0.00316456
analyser;0;0;0;0;0;0;0;0;0;0.00316456
variables;0;0;0;0;0;0;0;0;0;0.00316456
transaction;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
femme;0;0;0;0;0;0;0;0.0272109;0.0192308;0.0125392
côté client;0;0.0714286;0.0561404;0;0.0606061;0.0707965;0;0;0;0.0483384
ok;0;0;0;0;0;0;0;0;0;0.00316456
droit;0;0;0.0561404;0.076555;0.0606061;0.0707965;0;0;0;0.0483384
générique;0;0;0.00738007;0;0;0;0;0;0;0.00630915
échouer;0;0;0;0;0;0;0;0;0;0.00316456
contacter;0;0;0;0;0.008;0;0;0;0;0.00630915
pouvoir;0;0;0;0;0;0.00943396;0;0;0;0.00630915
standard;0;0;0.0288809;0;0.03125;0.0366972;0;0;0;0.0247678
conditionnelles;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
diagramme;0;0;0;0;0;0;0;0.0137931;0;0.00630915
switch;0;0.141732;0.158416;0.145833;0;0;0.153061;0.153846;0.157895;0.150725
bloc;0;0;0.014652;0;0.015873;0;0;0;0;0.0125392
prix unitaire;0;0;0;0;0;0;0;0.0137931;0;0.00630915
boucle for;0;0;0;0;0;0.0366972;0;0.0529801;0.0377358;0.0247678
répéter;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
initialisation;0;0;0;0;0.008;0;0;0;0;0.00630915
incrémentation;0;0;0.00738007;0;0;0;0;0;0;0.00630915
mettre à jour;0;0;0;0;0;0;0;0;0;0.00316456
col;0;0;0;0;0;0;0;0;0;0.00316456
evaluation;0;0;0;0;0;0;0;0;0;0.00316456
binôme;0;0;0;0;0;0;0;0;0;0.00316456
classes;0;0;0.09;0;0.100719;0.112033;0;0.148571;0.119658;0.0938416
bienvenue;0;0;0;0;0;0.0186916;0;0.0272109;0;0.0125392
class;0;0;0.0526316;0;0.0568182;0;0;0.0943396;0.0681818;0.0484848
constantes;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
créer;0;0.0188679;0;0;0;0.0186916;0;0;0;0.0125392
mot;0;0.209559;0.181818;0.22179;0.194175;0.216912;0;0;0.212687;0.165775
méthode;0;0.307479;0.388021;0.305714;0.343832;0.309392;0.247706;0.252308;0.344828;0.408759
env;0;0;0.0561404;0;0.0606061;0;0.1;0;0.0727273;0.0483384
session;0;0.178707;0.192926;0.18;0.174497;0.181818;0.182692;0;0;0.13624
temps;0;0.254019;0.299712;0.25;0.268437;0.272727;0.230189;0;0.261438;0.239401
visiteur;0;0;0.0491228;0;0;0.0619469;0;0.0880503;0.0684932;0.0486322
adresse ip;0;0;0;0;0;0;0;0;0.00970874;0.00630915
ip;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
réutilisation;0;0;0;0;0;0;0;0;0.00970874;0.00630915
entité;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
entité html;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
afficher;0;0;0.0561404;0.076555;0;0.0707965;0;0;0.0727273;0.0483384
comportement;0;0;0.106312;0.142222;0.114286;0.132231;0;0;0.135593;0.092219
trim;0;0.133333;0.106312;0;0.114286;0.132231;0;0;0.135593;0.092219
séquence;0;0;0.0491228;0;0;0.0619469;0;0.0880503;0.0684932;0.0486322
bcd;0;0;0;0;0;0.00943396;0;0;0;0.00630915
unset;0;0;0.0288809;0.039801;0;0;0;0;0.0377358;0.0247678
vrai;0;0;0;0;0;0.00943396;0;0;0;0.00630915
disponible;0;0;0.0252708;0;0;0.0321101;0;0.0463576;0;0.0248447
vides;0;0;0;0;0;0;0;0;0;0.00316456
possibles;0;0;0.0288809;0;0.03125;0.0366972;0;0;0;0.0247678
id;0;0;0.0491228;0;0.0570342;0.0619469;0;0.0880503;0;0.0486322
pouvoir;0;0;0;0;0;0.0186916;0;0;0.0192308;0.0125392
essayer;0;0;0;0;0.015873;0.0186916;0;0;0;0.0125392
impossible;0;0;0.0288809;0;0.03125;0.0366972;0;0;0;0.0247678
mp4;0;0;0;0;0;0;0;0;0;0.00316456
stream;0;0;0.00738007;0;0;0;0;0;0;0.00630915
développement;0;0;0;0;0.008;0;0;0;0;0.00630915
système de gestion;0;0;0.0288809;0;0.03125;0.0366972;0;0;0;0.0247678
dbms;0;0;0.0288809;0.039801;0;0.0366972;0;0;0;0.0247678
system;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
logiciel système;0;0;0;0;0;0;0;0;0.00970874;0.00630915
complexité;0;0;0;0;0;0;0;0;0.00970874;0.00630915
postgresql;0;0;0;0;0;0.0186916;0;0;0.0192308;0.0125392
mariadb;0;0;0;0;0;0;0;0;0.00970874;0.00630915
coder;0;0;0;0;0.03125;0.0366972;0;0;0.0377358;0.0247678
handle;0;0;0.014652;0.0203046;0;0;0;0;0;0.0125392
bibliothèque;0;0;0;0;0.03125;0.0366972;0;0.0529801;0;0.0247678
connecteur;0;0;0;0;0;0;0;0;0;0.00316456
mysqli;0;0;0;0;0.03125;0;0;0.0529801;0.0377358;0.0247678
pilote;0;0;0;0;0;0.00943396;0;0;0;0.00630915
odbc;0;0;0;0;0;0.00943396;0;0;0;0.00630915
phpmyadmin;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
hébergeur;0;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0.0247678
insert;0;0;0.0491228;0;0;0.0619469;0;0.0880503;0.0684932;0.0486322
travers;0;0;0;0;0.015873;0;0;0.0272109;0;0.0125392
mdp;0;0.0538117;0.0459364;0;0;0.0580357;0;0.0691824;0;0.0490798
delete;0;0;0.0491228;0;0.0570342;0.0619469;0;0.0880503;0;0.0486322
val;0;0;0.00738007;0;0;0;0;0;0;0.00630915
debugger;0;0;0;0;0;0;0;0;0;0.00316456
nobody;0;0;0;0;0;0;0;0;0;0.00316456
printf;0;0.037037;0;0;0.03125;0;0;0;0.0377358;0.0247678
dater;0;0;0;0;0;0;0;0;0;0.00316456
sql server;0;0;0;0;0;0.0186916;0;0;0.0192308;0.0125392
ecriture;0;0;0.0561404;0.076555;0.0606061;0;0;0;0.0727273;0.0483384
exec;0;0;0;0;0;0;0;0;0;0.00316456
