;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
implémentation bn:00016287n;0; 0; 0; 0; 0; 1; 
abstraire bn:00082180v;0; 0; 0; 0; 0; 1; 
attribut bn:00007068n;0; 0; 0; 0; 0; 1; 
dérivée bn:00026447n;0; 0; 0; 0; 0; 1; 
logiciel système bn:00075772n;0; 0; 0; 0; 0; 1; 
complexité bn:00021383n;0; 0; 0; 0; 0; 1; 
postgresql bn:01709156n;0; 0; 0; 0; 0; 1; 
mariadb bn:01841320n;0; 0; 0; 0; 0; 1; 
relationnel bn:00109653a;0; 0; 0; 0; 0; 1; 
modèle relationnel bn:01978816n;0; 0; 0; 0; 0; 1; 
firebird bn:02246711n;0; 0; 0; 0; 0; 1; 
ingres bn:03724918n;0; 0; 0; 0; 0; 1; 
hsqldb bn:00229377n;0; 0; 0; 0; 0; 1; 
oracle database bn:02591895n;0; 0; 0; 0; 0; 1; 
microsoft sql server bn:00605043n;0; 0; 0; 0; 0; 1; 
db2 bn:00637255n;0; 0; 0; 0; 0; 1; 
maxdb bn:00244294n;0; 0; 0; 0; 0; 1; 
informix bn:03306725n;0; 0; 0; 0; 0; 1; 
sybase bn:01257629n;0; 0; 0; 0; 0; 1; 
zodb bn:02283783n;0; 0; 0; 0; 0; 1; 
db4o bn:01389836n;0; 0; 0; 0; 0; 1; 
berkeley db bn:03239968n;0; 0; 0; 0; 0; 1; 
nosql bn:01727553n;0; 0; 0; 0; 0; 1; 
cassandra bn:01090316n;0; 0; 0; 0; 0; 1; 
redis bn:00089731v;0; 0; 0; 0; 0; 1; 
bigtable bn:03415846n;0; 0; 0; 0; 0; 1; 
couchdb bn:00542118n;0; 0; 0; 0; 0; 1; 
hbase bn:14809379n;0; 0; 0; 0; 0; 1; 
leveldb bn:02609794n;0; 0; 0; 0; 0; 1; 
phpmyadmin bn:03382496n;0; 0; 0; 0; 0; 1; 
hébergeur bn:00801697n;0; 0; 0; 0; 0; 1; 
root bn:00168023n;0; 0; 0; 0; 0; 1; 
libérer bn:00090300v;0; 0; 0; 0; 0; 1; 
supprimer bn:00086081v;0; 0; 0; 0; 0; 1; 
example.com bn:00329278n;0; 0; 0; 0; 0; 1; 
aller bn:00040833n;0; 0; 0; 0; 0; 1; 
transaction bn:01403911n;0; 0; 0; 0; 0; 1; 
isolation bn:02609561n;0; 0; 0; 0; 0; 1; 
durabilité bn:01803600n;0; 0; 0; 0; 0; 1; 
électricité bn:00030192n;0; 0; 0; 0; 0; 1; 
