X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
délimiteur bn:03371342n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0.0148148 ; 0 ; 0 ; 0 ; 0 ; 0
coordonnées bn:00022459n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
côté serveur bn:03816678n ; 0 ; 0.0421053 ; 0 ; 0.0449438 ; 0 ; 0.0567376 ; 0 ; 0 ; 0 ; 0 ; 0.038835
applets bn:00005083n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
activex bn:03829972n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
plugins bn:00001275n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
httpd bn:16913184n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0125 ; 0 ; 0 ; 0
script bn:01431715n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0148148 ; 0 ; 0 ; 0.025641 ; 0 ; 0
mod_perl bn:01549964n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
servlets bn:03188848n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0.0148148 ; 0 ; 0 ; 0 ; 0 ; 0
bonjour bn:00043620n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
hériter bn:00043823n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
bibliothèques bn:00050969n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.018018 ; 0
logiciel open source bn:01157392n ; 0 ; 0.0421053 ; 0.0666667 ; 0 ; 0.0487805 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.038835
licence php bn:03293781n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
rasmus lerdorf bn:03232211n ; 0 ; 0.0108696 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
publique bn:00109211a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
livre d’or bn:03888259n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
compteur bn:00023158n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0.0148148 ; 0 ; 0 ; 0 ; 0 ; 0
zeev suraski bn:00571154n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
netcraft bn:03608511n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
zend bn:03133191n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
société privée bn:00036346n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
calcul mathématique bn:00014689n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mathématique bn:00106488a ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
licence open source bn:01530143n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
télécharger bn:14037830n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0.00584795 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
tar.gz bn:16068787n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
help bn:13915186n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
serveur apache bn:01932513n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
httpd.conf bn:03668763n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
debian bn:03704159n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
comportement bn:00009657n ; 0 ; 0.0421053 ; 0 ; 0 ; 0.0487805 ; 0 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
complexe bn:00100148a ; 0 ; 0.0108696 ; 0 ; 0.0116279 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gestion bn:00053116n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
relatifs bn:00109123a ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
type bn:00016413n ; 0 ; 0.0421053 ; 0 ; 0 ; 0.0487805 ; 0.0567376 ; 0.042328 ; 0 ; 0 ; 0 ; 0
nombre entiers bn:00047009n ; 0 ; 0.0769231 ; 0 ; 0 ; 0 ; 0.0878378 ; 0.0609137 ; 0 ; 0.130435 ; 0 ; 0.0660377
nombre à virgule flottante bn:00035278n ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0246914 ; 0 ; 0 ; 0.019802
variable de type bn:02158332n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
base 10 bn:00025700n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
base 8 bn:01534404n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
double bn:00101728a ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
