state;0.0;0.0;0.0;"(3398, 3402)";bn:00064914n
level;0.0;0.0;0.0;"(3408, 3412)";bn:00025965n
entrance;0.0;0.0;0.0;"(3431, 3438)";bn:00031044n
default;0.0;0.0;0.0;"(3442, 3448)";bn:00025848n
state;0.0;0.0;0.0;"(3450, 3454)";bn:00064914n
scope;0.0;0.0;0.0;"(3462, 3466)";bn:00003268n
entrance;0.0;0.0;0.0;"(3474, 3481)";bn:00031044n
level;0.0;0.0;0.0;"(3495, 3499)";bn:00025965n
state;0.0;0.0;0.0;"(3524, 3528)";bn:00064914n
entrance;0.0;0.0;0.0;"(3546, 3553)";bn:00031044n
state;0.0;0.0;0.0;"(3566, 3570)";bn:00064914n
entered;0.0;0.0;0.0;"(3572, 3578)";bn:00085363v
state;0.0;0.0;0.0;"(3589, 3593)";bn:00064914n
level;0.0;0.0;0.0;"(3599, 3603)";bn:00025965n
entrance;0.0;0.0;0.0;"(3622, 3629)";bn:00031044n
default;0.0;0.0;0.0;"(3633, 3639)";bn:00025848n
state;0.0;0.0;0.0;"(3641, 3645)";bn:00064914n
scope;0.0;0.0;0.0;"(3653, 3657)";bn:00003268n
entrance;0.0;0.0;0.0;"(3665, 3672)";bn:00031044n
level;0.0;0.0;0.0;"(3686, 3690)";bn:00025965n
scope;0.0;0.0;0.0;"(3710, 3714)";bn:00003268n
entrance;0.0;0.0;0.0;"(3723, 3730)";bn:00031044n
lowest;1.0;0.013215859030837005;6.698434557650598E-7;"(3736, 3741)";bn:00105744a
level;0.0;0.0;0.0;"(3743, 3747)";bn:00025965n
example;0.0;0.0;0.0;"(3770, 3776)";bn:00032099n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(3778, 3780)";bn:03752309n
state;0.0;0.0;0.0;"(3792, 3796)";bn:00064914n
state;0.0;0.0;0.0;"(3818, 3822)";bn:00064914n
entered;0.0;0.0;0.0;"(3824, 3830)";bn:00085363v
exited;0.0;0.0;0.0;"(3832, 3837)";bn:00087845v
entrance;0.0;0.0;0.0;"(3853, 3860)";bn:00031044n
state;0.0;0.0;0.0;"(3866, 3870)";bn:00064914n
entered;0.0;0.0;0.0;"(3872, 3878)";bn:00085363v
state;0.0;0.0;0.0;"(3889, 3893)";bn:00064914n
level;0.0;0.0;0.0;"(3899, 3903)";bn:00025965n
entrance;0.0;0.0;0.0;"(3905, 3912)";bn:00031044n
default;0.0;0.0;0.0;"(3914, 3920)";bn:00025848n
state;0.0;0.0;0.0;"(3922, 3926)";bn:00064914n
entered;0.0;0.0;0.0;"(3983, 3989)";bn:00085363v
scope;0.0;0.0;0.0;"(3997, 4001)";bn:00003268n
entrance;0.0;0.0;0.0;"(4009, 4016)";bn:00031044n
level;0.0;0.0;0.0;"(4030, 4034)";bn:00025965n
scope;0.0;0.0;0.0;"(4054, 4058)";bn:00003268n
entrance;0.0;0.0;0.0;"(4067, 4074)";bn:00031044n
lowest;1.0;0.013215859030837005;6.698434557650598E-7;"(4080, 4085)";bn:00105744a
level;0.0;0.0;0.0;"(4087, 4091)";bn:00025965n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(4112, 4114)";bn:03752309n
example;0.0;0.0;0.0;"(4116, 4122)";bn:00032099n
state;0.0;0.0;0.0;"(4143, 4147)";bn:00064914n
entered;0.0;0.0;0.0;"(4149, 4155)";bn:00085363v
exit;0.0;0.0;0.0;"(4157, 4160)";bn:00032242n
reset;0.0;0.0;0.0;"(4181, 4185)";bn:00092880v
state;0.0;0.0;0.0;"(4191, 4195)";bn:00064914n
entered;0.0;0.0;0.0;"(4197, 4203)";bn:00085363v
