;C11;C15;C17;C19;C3;C5;C6
coordonnées bn:00022459n;0; 1; 1; 1; 0; 1; 1; 
donner naissance bn:00088850v;0; 1; 1; 1; 1; 1; 1; 
primaire bn:00030305n;0; 1; 1; 1; 1; 1; 1; 
êtres bn:00009677n;0; 1; 1; 1; 1; 1; 1; 
fonctionnalité bn:00036836n;0; 0; 1; 1; 1; 1; 0; 
validité bn:01410980n;0; 1; 1; 1; 1; 1; 0; 
format de date bn:03576260n;0; 0; 1; 1; 0; 1; 1; 
séparément bn:00115904r;0; 1; 1; 1; 1; 1; 1; 
ligne de code bn:02312840n;0; 0; 0; 0; 1; 1; 1; 
charge de travail bn:00081580n;0; 1; 1; 1; 1; 1; 1; 
commettre bn:00085426v;0; 1; 1; 1; 1; 0; 1; 
l’écriture bn:00081714n;0; 0; 1; 0; 0; 0; 1; 
ergonomiques bn:00113458a;0; 1; 1; 1; 1; 1; 1; 
police de caractère bn:00016414n;0; 1; 1; 1; 1; 1; 1; 
couleurs bn:00020726n;0; 0; 1; 0; 0; 0; 0; 
correcte bn:00100492a;0; 1; 1; 1; 1; 1; 1; 
placer bn:00090224v;0; 0; 1; 1; 0; 1; 0; 
économie bn:00029676n;0; 1; 1; 1; 1; 1; 1; 
dégager bn:00084196v;0; 1; 1; 1; 1; 1; 1; 
répartition bn:00027877n;0; 1; 1; 1; 1; 1; 1; 
mentionner bn:00088078v;0; 1; 1; 0; 1; 1; 1; 
résulter bn:00087671v;0; 1; 1; 1; 1; 1; 1; 
électronique bn:00102099a;0; 0; 1; 1; 1; 1; 1; 
gif bn:00444440n;0; 1; 1; 1; 0; 1; 1; 
h2 bn:02803535n;0; 1; 1; 0; 1; 0; 1; 
solid bn:03959931n;0; 1; 0; 1; 1; 1; 1; 
encart bn:02265602n;0; 1; 1; 1; 1; 1; 1; 
navigation bn:00057073n;0; 0; 1; 1; 1; 1; 1; 
déconnecter bn:00090445v;0; 0; 1; 1; 1; 1; 1; 
lors bn:00117250r;0; 1; 1; 1; 1; 1; 1; 
lien de retour bn:03396945n;0; 1; 1; 1; 1; 1; 1; 
déconnexion bn:00027504n;0; 1; 1; 0; 0; 1; 1; 
feuille bn:00035596n;0; 1; 1; 1; 1; 1; 1; 
sophistiquée bn:00110922a;0; 1; 1; 1; 1; 1; 1; 
approfondir bn:00086706v;0; 1; 1; 1; 1; 1; 1; 
oublier bn:00084302v;0; 1; 0; 1; 1; 1; 1; 
certain bn:00099474a;0; 1; 1; 1; 1; 1; 1; 
alternative bn:00003132n;0; 1; 1; 1; 1; 1; 1; 
sens large bn:04822383n;0; 1; 1; 1; 1; 1; 1; 
encodeur bn:02487361n;0; 1; 1; 1; 1; 1; 1; 
bienvenue bn:00080852n;0; 1; 0; 1; 1; 1; 0; 
ressembler à bn:00092876v;0; 1; 1; 0; 0; 1; 0; 
progression bn:00001551n;0; 1; 1; 1; 1; 1; 1; 
difficulté bn:00027042n;0; 1; 1; 1; 1; 1; 1; 
feed-back bn:00033948n;0; 1; 1; 1; 1; 1; 1; 
avoir échoué bn:00089072v;0; 1; 1; 1; 1; 1; 1; 
id bn:03885719n;0; 0; 1; 0; 0; 0; 0; 
mini-site bn:00251724n;0; 1; 1; 1; 1; 1; 0; 
arborescence bn:02462444n;0; 1; 1; 1; 1; 1; 1; 
cache bn:00014484n;0; 1; 1; 1; 0; 0; 1; 
daniel bn:03602152n;1; 0; 1; 1; 1; 1; 1; 
historique bn:00104223a;1; 0; 1; 1; 1; 0; 1; 
manuel bn:00099315a;1; 0; 1; 1; 1; 1; 1; 
arrêt bn:00025510n;1; 0; 1; 1; 1; 1; 1; 
interfaçage bn:04713937n;1; 0; 0; 1; 1; 1; 1; 
transtypage bn:17104905n;1; 0; 1; 0; 0; 1; 0; 
arobase bn:00006580n;1; 0; 1; 1; 1; 1; 1; 
comparaison bn:00021304n;1; 0; 0; 0; 0; 1; 1; 
fonction utilisateurs bn:00952651n;1; 0; 0; 1; 1; 0; 1; 
validation bn:03925844n;1; 0; 1; 1; 1; 0; 1; 
en-tête bn:00043309n;1; 0; 0; 0; 0; 1; 0; 
base de données web bn:00021470n;1; 0; 1; 1; 1; 1; 1; 
rechercher bn:00087881v;1; 0; 1; 1; 1; 1; 1; 
insérer bn:00087681v;1; 0; 1; 1; 1; 1; 1; 
naviguer bn:00091024v;1; 0; 1; 1; 1; 1; 1; 
lire bn:00066357n;1; 0; 0; 0; 0; 0; 0; 
daniel bn:00012076n;1; 0; 1; 1; 1; 1; 1; 
erreur de syntaxe bn:00075740n;1; 0; 1; 1; 0; 1; 1; 
sémantique bn:00070404n;1; 0; 1; 1; 1; 1; 1; 
erreur logique bn:00051856n;1; 0; 1; 1; 1; 1; 1; 
message bn:00521573n;1; 0; 1; 0; 0; 0; 1; 
journalisation bn:00306917n;1; 0; 1; 1; 1; 1; 1; 
constructeur bn:03834827n;1; 0; 0; 1; 0; 0; 1; 
attribut bn:00007068n;1; 0; 1; 0; 1; 0; 1; 
héritage bn:00043822n;1; 0; 0; 1; 0; 0; 0; 
redéfinition bn:00066711n;1; 0; 1; 1; 0; 1; 1; 
destructeur bn:01558988n;1; 0; 1; 1; 0; 1; 1; 
langage html bn:00045087n;1; 0; 0; 0; 1; 1; 1; 
etc. bn:00114282r;1; 0; 0; 0; 0; 0; 0; 
hébergeur bn:00801697n;1; 0; 1; 0; 0; 1; 0; 
commerce électronique bn:00029344n;1; 0; 1; 1; 0; 0; 1; 
nom de domaine bn:00028143n;1; 0; 0; 1; 1; 1; 1; 
messagerie bn:00030257n;1; 0; 1; 1; 0; 1; 1; 
comparable bn:00100117a;1; 0; 1; 1; 1; 1; 1; 
standard bn:00111129a;1; 0; 0; 0; 0; 0; 0; 
rasmus lerdorf bn:03232211n;1; 0; 0; 1; 0; 0; 1; 
page perso bn:01605102n;1; 0; 1; 1; 0; 1; 1; 
package bn:01408374n;1; 0; 0; 1; 1; 0; 1; 
interpreter bn:00047204n;1; 0; 0; 1; 0; 1; 0; 
zeev suraski bn:00571154n;1; 0; 0; 1; 0; 0; 1; 
portail bn:00063659n;1; 0; 1; 1; 1; 1; 1; 
moteur bn:00030850n;1; 0; 1; 0; 0; 0; 1; 
moteur zend bn:01337536n;1; 0; 1; 1; 0; 0; 1; 
zend bn:03133191n;1; 0; 1; 0; 0; 0; 1; 
idéal bn:00104501a;1; 0; 1; 1; 1; 1; 1; 
processeurs bn:00014395n;1; 0; 1; 1; 1; 1; 0; 
line bn:16701562n;1; 0; 1; 1; 1; 1; 1; 
familière bn:00020682n;1; 0; 1; 1; 1; 1; 1; 
langage c bn:00014377n;1; 0; 0; 1; 0; 1; 1; 
phénomène bn:00061931n;1; 0; 1; 1; 1; 1; 1; 
actifs bn:00006504n;1; 0; 1; 1; 1; 1; 1; 
combinés bn:00036466n;1; 0; 1; 1; 1; 1; 1; 
répartir bn:00087068v;1; 0; 1; 1; 1; 1; 1; 
client bn:00019764n;1; 0; 0; 0; 0; 0; 0; 
nouvelles technologies bn:03109588n;1; 0; 1; 1; 1; 1; 1; 
activex bn:03829972n;1; 0; 1; 1; 0; 1; 1; 
applets bn:00005083n;1; 0; 1; 1; 1; 1; 0; 
java bn:00048043n;1; 0; 0; 0; 0; 0; 0; 
servlets bn:03188848n;1; 0; 1; 1; 1; 1; 1; 
windows bn:00081305n;1; 0; 0; 0; 0; 0; 0; 
linux bn:00051427n;1; 0; 0; 0; 0; 0; 0; 
serveur apache bn:01932513n;1; 0; 0; 0; 1; 1; 1; 
chose bn:00091115v;1; 0; 1; 1; 0; 0; 0; 
publication scientifiques bn:03136677n;1; 0; 1; 1; 1; 1; 1; 
css bn:00056944n;1; 0; 1; 0; 0; 1; 1; 
nécessaire bn:00031631n;1; 0; 1; 0; 1; 1; 1; 
application bn:00005095n;1; 0; 1; 1; 1; 0; 1; 
agir bn:00082285v;1; 0; 1; 1; 1; 1; 1; 
utilitaire bn:00070672n;1; 0; 1; 1; 1; 1; 1; 
télécharger bn:14037830n;1; 0; 0; 1; 0; 1; 1; 
chemin bn:03131414n;1; 0; 0; 0; 1; 0; 0; 
fichier dll bn:00050969n;1; 0; 1; 0; 1; 0; 0; 
ext bn:00167255n;1; 0; 1; 1; 1; 1; 1; 
dll bn:02058089n;1; 0; 1; 1; 0; 1; 1; 
path bn:01205256n;1; 0; 0; 0; 1; 0; 1; 
exe bn:14503132n;1; 0; 0; 1; 1; 1; 1; 
httpd bn:16913184n;1; 0; 1; 1; 1; 1; 1; 
fenêtre bn:00081292n;1; 0; 1; 1; 1; 1; 1; 
cd bn:00016915n;1; 0; 0; 1; 1; 0; 1; 
sybase bn:01257629n;1; 0; 0; 1; 1; 1; 1; 
pilote bn:00026721n;1; 0; 1; 1; 1; 1; 1; 
langage dynamique bn:01652181n;1; 0; 1; 1; 1; 1; 1; 
horloge bn:00019887n;1; 0; 1; 1; 1; 1; 1; 
fichier log bn:15274529n;1; 0; 1; 1; 1; 0; 1; 
accueil bn:00044514n;1; 0; 1; 0; 1; 1; 0; 
développements bn:01834425n;1; 0; 1; 0; 1; 0; 0; 
coloration syntaxique bn:02006707n;1; 0; 1; 1; 0; 1; 1; 
texte brut bn:01848600n;1; 0; 1; 1; 1; 1; 1; 
ascii bn:00003473n;1; 0; 0; 1; 0; 1; 1; 
sgml bn:00070813n;1; 0; 1; 1; 1; 1; 1; 
vbscript bn:02626435n;1; 0; 1; 1; 0; 1; 1; 
fichier de configuration bn:03229365n;1; 0; 0; 1; 1; 0; 1; 
expression régulière bn:01922794n;1; 0; 1; 1; 1; 1; 1; 
integer bn:00691555n;1; 0; 1; 1; 0; 0; 0; 
constante bn:14692918n;1; 0; 1; 1; 0; 1; 1; 
magiques bn:00099543a;1; 0; 1; 0; 1; 1; 1; 
file bn:00065682n;1; 0; 0; 0; 0; 1; 0; 
pi bn:00062194n;1; 0; 0; 1; 1; 0; 1; 
deuxième bn:00110242a;1; 0; 1; 1; 1; 1; 1; 
vrai bn:00078452n;1; 0; 1; 1; 1; 1; 1; 
base 16 bn:00043959n;1; 0; 1; 1; 1; 1; 1; 
valeur numérique bn:00000451n;1; 0; 0; 1; 0; 1; 1; 
encore bn:00114171r;1; 0; 0; 1; 1; 1; 1; 
syntax bn:03641819n;1; 0; 1; 1; 1; 1; 1; 
affiche bn:15173511n;1; 0; 1; 0; 0; 1; 1; 
carriage return bn:00016246n;1; 0; 0; 1; 0; 1; 1; 
cr bn:00006854n;1; 0; 1; 1; 0; 1; 1; 
horizontale bn:00104328a;1; 0; 1; 1; 1; 1; 1; 
notation octale bn:00058598n;1; 0; 0; 1; 0; 1; 1; 
notation hexadécimale bn:00043958n;1; 0; 0; 1; 0; 1; 1; 
isolé bn:00089916v;1; 0; 1; 1; 0; 1; 1; 
fonction bn:00036821n;1; 0; 1; 0; 0; 1; 0; 
chien bn:00015267n;1; 0; 1; 1; 1; 1; 0; 
echo bn:03626250n;1; 0; 0; 0; 0; 1; 1; 
grace bn:00041221n;1; 0; 1; 1; 1; 1; 1; 
courant bn:00107963a;1; 0; 1; 1; 1; 0; 1; 
auto bn:00007309n;1; 0; 1; 1; 1; 0; 1; 
évolution bn:00032060n;1; 0; 1; 1; 1; 1; 1; 
opération élémentaires bn:05009591n;1; 0; 1; 1; 1; 1; 1; 
addition bn:00001296n;1; 0; 0; 1; 0; 1; 0; 
soustraction bn:00055233n;1; 0; 0; 1; 1; 1; 0; 
multiplication bn:00056300n;1; 0; 0; 1; 0; 0; 0; 
situer bn:00089575v;1; 0; 0; 1; 1; 1; 1; 
gauche bn:00902572n;1; 0; 1; 1; 0; 1; 1; 
affectation bn:02806034n;1; 0; 0; 1; 0; 1; 0; 
droit bn:00048655n;1; 0; 1; 0; 0; 0; 0; 
intervenir bn:00089850v;1; 0; 1; 1; 1; 1; 1; 
tester bn:00094888v;1; 0; 1; 0; 1; 1; 0; 
valeur de retour bn:03828774n;1; 0; 0; 1; 0; 1; 0; 
égal bn:00102336a;1; 0; 0; 0; 0; 1; 0; 
opérande bn:00059114n;1; 0; 0; 1; 1; 1; 1; 
initialiser bn:00089742v;1; 0; 0; 0; 0; 0; 0; 
branchement bn:00131727n;1; 0; 1; 1; 1; 1; 1; 
personnaliser bn:00086177v;1; 0; 1; 1; 1; 1; 1; 
préalable bn:00108973a;1; 0; 1; 1; 1; 1; 1; 
boucle while bn:03237310n;1; 0; 0; 0; 1; 1; 1; 
while bn:00047734n;1; 0; 0; 0; 0; 0; 0; 
février bn:00033882n;1; 0; 1; 1; 0; 1; 1; 
juillet bn:00048548n;1; 0; 1; 1; 1; 1; 1; 
septembre bn:00070537n;1; 0; 1; 1; 0; 0; 1; 
octobre bn:00058593n;1; 0; 1; 1; 1; 1; 1; 
novembre bn:00058192n;1; 0; 1; 1; 1; 1; 0; 
décembre bn:00025645n;1; 0; 1; 1; 1; 1; 1; 
manquant bn:00090161v;1; 0; 1; 1; 0; 1; 0; 
tenir de bn:00094747v;1; 0; 1; 1; 1; 1; 1; 
franz kafka bn:00036274n;1; 0; 1; 1; 1; 0; 1; 
albert camus bn:00002458n;1; 0; 1; 1; 1; 1; 1; 
molière bn:00048073n;1; 0; 1; 1; 1; 1; 1; 
end bn:01899641n;1; 0; 1; 1; 1; 1; 1; 
attention bn:00007020n;1; 0; 1; 1; 0; 0; 1; 
paire clé-valeur bn:01318211n;1; 0; 1; 1; 1; 1; 1; 
key bn:15770009n;1; 0; 1; 0; 1; 1; 1; 
voyelle bn:00080267n;1; 0; 1; 1; 1; 1; 1; 
serpents bn:00059150n;1; 0; 1; 1; 1; 1; 1; 
oiseaux bn:00010605n;1; 0; 1; 1; 1; 1; 1; 
rue bn:00074595n;1; 0; 0; 1; 1; 1; 1; 
jacques brel bn:03810995n;1; 0; 1; 1; 1; 1; 1; 
scribe bn:00022535n;1; 0; 1; 1; 1; 1; 1; 
paris bn:00015540n;1; 0; 1; 1; 1; 1; 1; 
code postal bn:00063770n;1; 0; 1; 1; 1; 1; 1; 
mathématique bn:00106488a;1; 0; 1; 0; 1; 1; 1; 
physique bn:00056996n;1; 0; 1; 1; 1; 1; 1; 
français bn:00036426n;1; 0; 1; 0; 0; 1; 0; 
supprimer bn:00087533v;1; 0; 1; 1; 0; 1; 1; 
papaye bn:00016072n;1; 0; 1; 1; 1; 1; 1; 
banane bn:00008268n;1; 0; 1; 1; 1; 1; 1; 
orange bn:00107945a;1; 0; 1; 1; 1; 1; 1; 
type de fonction bn:03403506n;1; 0; 0; 1; 1; 1; 1; 
vide bn:00113475a;1; 0; 1; 1; 1; 1; 1; 
devoir bn:00091362v;1; 0; 1; 0; 0; 1; 1; 
virgule bn:00020937n;1; 0; 1; 1; 1; 1; 1; 
salaire bn:15928884n;1; 0; 1; 0; 1; 1; 1; 
chaine bn:03482967n;1; 0; 1; 1; 1; 1; 1; 
bleu bn:00011477n;1; 0; 1; 1; 1; 0; 1; 
vert bn:00041648n;1; 0; 1; 1; 0; 0; 1; 
extérieur bn:00108059a;1; 0; 1; 1; 1; 1; 1; 
total bn:00102277a;1; 0; 1; 1; 0; 1; 0; 
nb bn:00056690n;1; 0; 1; 1; 1; 1; 1; 
contraire bn:00100398a;1; 0; 1; 1; 0; 1; 1; 
segment de code bn:00186041n;1; 0; 1; 1; 1; 1; 1; 
comportement bn:00009657n;1; 0; 1; 0; 0; 0; 0; 
point d’interrogation bn:00047210n;1; 0; 1; 1; 1; 1; 1; 
nature bn:00057017n;1; 0; 1; 1; 1; 1; 1; 
caractère de ponctuation bn:00003061n;1; 0; 1; 1; 1; 1; 1; 
ponctuation bn:00065224n;1; 0; 1; 1; 1; 1; 1; 
décoder bn:00086376v;1; 0; 1; 1; 1; 1; 1; 
chiffre hexadécimaux bn:00043957n;1; 0; 1; 1; 1; 1; 1; 
poster bn:00090548v;1; 0; 1; 1; 1; 1; 1; 
query_string bn:03583474n;1; 0; 0; 1; 1; 0; 1; 
split bn:03731386n;1; 0; 1; 1; 1; 1; 0; 
parser bn:15790106n;1; 0; 1; 0; 1; 1; 1; 
figurer bn:00014691n;1; 0; 1; 1; 1; 1; 1; 
courriel bn:00087450v;1; 0; 1; 1; 1; 1; 1; 
groupe bn:00041942n;1; 0; 1; 1; 1; 1; 0; 
civilité bn:00019387n;1; 0; 1; 1; 1; 1; 1; 
anglais bn:00030862n;1; 0; 1; 1; 0; 1; 0; 
art bn:00005927n;1; 0; 1; 1; 1; 1; 1; 
vérification bn:00017984n;1; 0; 1; 0; 0; 1; 0; 
traduction bn:00047114n;1; 0; 1; 0; 1; 0; 0; 
particulier bn:00073185n;1; 0; 1; 1; 1; 1; 0; 
chevron bn:03171924n;1; 0; 1; 1; 1; 1; 1; 
action bn:00001127n;1; 0; 1; 0; 1; 0; 0; 
printf bn:03243783n;1; 0; 0; 0; 1; 0; 1; 
statistique bn:00074061n;1; 0; 1; 1; 1; 1; 1; 
simultanés bn:00099916a;1; 0; 1; 1; 1; 1; 1; 
transaction bn:01403911n;1; 0; 1; 1; 0; 0; 0; 
application programming interface bn:02130401n;1; 0; 1; 1; 1; 1; 1; 
ansi bn:03507104n;1; 0; 1; 1; 1; 1; 0; 
schéma de bn:00035375n;1; 0; 1; 0; 1; 1; 1; 
gauche bn:00050521n;1; 0; 1; 0; 1; 1; 1; 
unix bn:00079165n;1; 0; 0; 1; 0; 0; 1; 
windows nt bn:01409690n;1; 0; 0; 1; 1; 1; 1; 
étendre bn:00085362v;1; 0; 1; 1; 1; 1; 1; 
numérique bn:15182937n;1; 0; 1; 1; 0; 1; 1; 
interroger bn:00032094n;1; 0; 1; 1; 1; 1; 1; 
marc bn:17140087n;1; 0; 1; 1; 1; 1; 1; 
paragraphe bn:00060556n;1; 0; 1; 0; 1; 1; 1; 
numéro de ligne bn:03406633n;1; 0; 1; 1; 0; 1; 1; 
avoir besoin de bn:00091028v;1; 0; 1; 1; 0; 0; 0; 
pouvoir bn:00063940n;1; 0; 1; 1; 1; 1; 1; 
cliquer bn:00085116v;1; 0; 1; 0; 1; 1; 1; 
js bn:15539067n;1; 0; 1; 1; 1; 0; 1; 
second bn:00005460n;1; 0; 1; 1; 0; 1; 1; 
long bn:00116154r;1; 0; 1; 1; 1; 1; 1; 
époque unix bn:00124230n;1; 0; 1; 1; 0; 1; 1; 
gmt bn:00040810n;1; 0; 1; 1; 0; 1; 1; 
droite bn:00051291n;1; 0; 0; 0; 0; 1; 1; 
heure internet bn:02981905n;1; 0; 1; 1; 0; 1; 1; 
vendredi bn:00036512n;1; 0; 1; 1; 0; 0; 1; 
longue bn:00106124a;1; 0; 1; 1; 1; 1; 1; 
préfixe bn:00064136n;1; 0; 1; 1; 1; 1; 1; 
système horaire bn:04803326n;1; 0; 1; 1; 1; 1; 1; 
booléenne bn:00098690a;1; 0; 1; 0; 0; 1; 1; 
monday bn:00055609n;1; 0; 1; 1; 0; 0; 1; 
année bissextile bn:00000107n;1; 0; 1; 1; 1; 1; 1; 
dec bn:00017011n;1; 0; 1; 1; 0; 1; 1; 
ordinal bn:00107962a;1; 0; 1; 1; 1; 1; 1; 
fuseau horaire bn:00077302n;1; 0; 1; 1; 0; 1; 1; 
samedi bn:00068696n;1; 0; 1; 1; 0; 0; 1; 
année 0 bn:03149812n;1; 0; 1; 1; 1; 1; 1; 
août bn:00007140n;1; 0; 1; 1; 1; 1; 1; 
août 2000 bn:00690237n;1; 0; 1; 1; 1; 1; 1; 
minuscule bn:00098029a;1; 0; 1; 0; 1; 1; 1; 
temporaire bn:00105439a;1; 0; 1; 1; 1; 0; 1; 
host bn:01846442n;1; 0; 1; 0; 1; 0; 0; 
tr bn:03561884n;1; 0; 1; 0; 1; 0; 1; 
pear bn:03735126n;1; 0; 1; 1; 1; 1; 0; 
persistance bn:03432337n;1; 0; 1; 1; 1; 1; 1; 
durée de vie bn:01120526n;1; 0; 1; 1; 1; 1; 1; 
chocolat bn:00018639n;1; 0; 1; 1; 1; 1; 1; 
sortie bn:01541423n;1; 0; 0; 0; 0; 1; 1; 
variable d’environnement bn:00031075n;1; 0; 1; 1; 1; 1; 1; 
café bn:00020414n;1; 0; 1; 1; 1; 1; 1; 
annexe bn:03832754n;1; 0; 1; 1; 1; 1; 1; 
poisson bn:00062612n;1; 0; 1; 1; 1; 0; 1; 
protocole bn:00021227n;1; 0; 1; 1; 1; 1; 1; 
avoir recours à bn:00082705v;1; 0; 1; 0; 1; 1; 1; 
côté bn:00110607a;1; 0; 0; 1; 0; 1; 1; 
cookie de session bn:00070691n;1; 0; 1; 0; 0; 1; 1; 
void bn:01326821n;1; 0; 1; 1; 1; 1; 1; 
configurer bn:00085667v;1; 0; 0; 1; 1; 1; 1; 
clé de session bn:03483754n;1; 0; 1; 1; 1; 1; 1; 
sgbd bn:00025335n;1; 0; 1; 1; 1; 1; 1; 
valeur bn:00079508n;1; 0; 0; 0; 0; 1; 1; 
arrêté bn:00082277v;1; 0; 1; 1; 1; 1; 1; 
rafraîchir bn:00088571v;1; 0; 1; 1; 1; 1; 1; 
transmettre bn:00088164v;1; 0; 1; 1; 1; 1; 1; 
appel de fonction bn:00036827n;1; 0; 0; 0; 0; 1; 1; 
tableau associatif bn:03848413n;1; 0; 1; 0; 1; 0; 1; 
unset bn:00176172n;1; 0; 1; 0; 0; 1; 1; 
description bn:04723965n;1; 0; 1; 1; 1; 0; 0; 
pointeur bn:03222272n;1; 0; 0; 1; 0; 1; 1; 
fermer bn:00085170v;1; 0; 1; 0; 0; 1; 1; 
spécifique bn:00111002a;1; 0; 1; 1; 1; 1; 1; 
réussite bn:00000870n;1; 0; 1; 0; 0; 1; 1; 
fread bn:13825823n;1; 0; 1; 0; 0; 1; 1; 
fin bn:00113911a;1; 0; 1; 1; 0; 1; 1; 
gras bn:00011848n;1; 0; 1; 1; 0; 1; 1; 
gestion fichiers bn:00264400n;1; 0; 1; 1; 0; 1; 1; 
fichier en lecture seule bn:00066358n;1; 0; 1; 1; 1; 1; 1; 
copy bn:14086525n;1; 0; 1; 1; 0; 1; 1; 
rename bn:00342646n;1; 0; 1; 1; 0; 1; 1; 
chdir bn:00821546n;1; 0; 1; 1; 0; 1; 1; 
repertoire bn:00027375n;1; 0; 0; 0; 1; 1; 0; 
avantageux bn:00096535a;1; 0; 1; 1; 1; 1; 1; 
permission bn:00050986n;1; 0; 0; 1; 0; 1; 0; 
échec bn:00018197n;1; 0; 0; 1; 0; 0; 1; 
basename bn:01749628n;1; 0; 1; 0; 1; 1; 1; 
l’image bn:17143150n;1; 0; 1; 1; 1; 1; 1; 
psd bn:15712791n;1; 0; 1; 1; 0; 1; 1; 
bmp bn:01848933n;1; 0; 1; 1; 0; 1; 1; 
img bn:02450504n;1; 0; 1; 0; 0; 1; 0; 
librairie gd bn:03462925n;1; 0; 1; 1; 0; 1; 1; 
détruire bn:00084204v;1; 0; 1; 1; 1; 1; 1; 
débogage bn:01845297n;1; 0; 1; 1; 1; 1; 1; 
absent bn:00096194a;1; 0; 1; 1; 1; 1; 1; 
erreur sémantique bn:00068562n;1; 0; 1; 1; 1; 1; 1; 
sémantique bn:00110347a;1; 0; 1; 1; 1; 1; 1; 
code parfait bn:01137501n;1; 0; 1; 1; 1; 1; 1; 
bogue bn:00064654n;1; 0; 1; 1; 1; 1; 1; 
adapter bn:00088243v;1; 0; 1; 1; 1; 1; 1; 
notices bn:00058169n;1; 0; 1; 1; 1; 1; 1; 
harmonieuse bn:00103983a;1; 0; 1; 1; 1; 1; 1; 
string bn:00050078n;1; 0; 1; 0; 1; 1; 0; 
log bn:00051830n;1; 0; 1; 1; 1; 0; 1; 
modulaire bn:00106842a;1; 0; 1; 1; 0; 0; 1; 
réutilisation bn:02823226n;1; 0; 1; 1; 1; 1; 1; 
réutilisation de code bn:00205717n;1; 0; 1; 1; 1; 1; 1; 
interagir bn:00089808v;1; 0; 1; 0; 1; 1; 1; 
effet externe bn:00032451n;1; 0; 1; 1; 1; 1; 1; 
méthodologie bn:00054633n;1; 0; 1; 1; 1; 0; 1; 
conséquent bn:03684159n;1; 0; 1; 1; 1; 1; 1; 
sein bn:00012047n;1; 0; 1; 1; 1; 1; 1; 
polymorphisme bn:01974384n;1; 0; 0; 1; 0; 1; 1; 
hiérarchique bn:00104156a;1; 0; 1; 1; 1; 1; 1; 
parent bn:00060643n;1; 0; 1; 1; 0; 1; 1; 
code réutilisable bn:03368223n;1; 0; 1; 1; 1; 1; 1; 
corps de fonction bn:04841943n;1; 0; 0; 1; 1; 1; 1; 
fatal bn:00102827a;1; 0; 1; 1; 1; 1; 1; 
redéfinir bn:00092568v;1; 0; 1; 1; 0; 1; 1; 
fonction de classe bn:00118742n;1; 0; 1; 1; 1; 1; 1; 
variables locales bn:00958409n;1; 0; 0; 1; 0; 1; 1; 
classe bn:03608262n;1; 0; 0; 0; 0; 0; 0; 
garder bn:00089407v;1; 0; 1; 1; 1; 1; 1; 
possibilité bn:00045632n;1; 0; 1; 0; 1; 0; 1; 
véhicule bn:00079675n;1; 0; 1; 1; 1; 1; 1; 
velo bn:00010248n;1; 0; 1; 1; 1; 1; 1; 
hériter bn:00089736v;1; 0; 1; 1; 1; 1; 1; 
cb 500 bn:00338640n;1; 0; 1; 1; 1; 1; 1; 
type primitifs bn:02695430n;1; 0; 1; 1; 1; 1; 1; 
enfant bn:00018346n;1; 0; 1; 0; 1; 1; 0; 
effectivement bn:00114357r;1; 0; 1; 1; 1; 1; 1; 
c++ bn:03586438n;1; 0; 0; 1; 0; 0; 0; 
exception bn:00032118n;1; 0; 0; 1; 0; 1; 1; 
clonage bn:04738539n;1; 0; 1; 1; 0; 1; 1; 
reference bn:00001302n;1; 0; 1; 1; 1; 1; 1; 
mot-clé bn:03277968n;1; 0; 1; 1; 0; 1; 1; 
hériter bn:00043823n;1; 0; 1; 1; 1; 1; 1; 
mot clé bn:03446421n;1; 0; 0; 1; 1; 1; 1; 
résolution bn:00064528n;1; 0; 1; 1; 1; 1; 1; 
self bn:03432485n;1; 0; 1; 1; 0; 0; 1; 
parente bn:00033359n;1; 0; 1; 1; 0; 1; 1; 
être valable bn:00082706v;1; 0; 1; 1; 1; 0; 1; 
créer bn:00086008v;1; 0; 0; 0; 1; 1; 1; 
définie bn:00101088a;1; 0; 1; 1; 1; 1; 1; 
abstraire bn:00082180v;1; 0; 1; 1; 0; 0; 1; 
template bn:02473997n;1; 0; 1; 1; 0; 1; 1; 
ordinateur bn:00021464n;1; 1; 0; 1; 1; 1; 0; 
gratuité bn:00341663n;1; 1; 0; 1; 1; 1; 1; 
disponibilité bn:00000670n;1; 1; 0; 1; 1; 1; 1; 
licence gnu bn:01157379n;1; 1; 0; 1; 0; 1; 0; 
gnu bn:00324017n;1; 1; 0; 1; 1; 1; 0; 
macos x bn:01334510n;1; 1; 0; 1; 1; 0; 1; 
solaris bn:03226168n;1; 1; 0; 1; 1; 1; 1; 
contrairement bn:00116459r;1; 1; 0; 1; 1; 1; 1; 
intermédiaire bn:00105288a;1; 1; 0; 1; 1; 1; 1; 
adabas bn:03129279n;1; 1; 0; 1; 1; 1; 1; 
adabas d bn:03753860n;1; 1; 0; 1; 1; 1; 1; 
écrire à bn:00094109v;1; 1; 0; 0; 1; 1; 1; 
ensemble bn:00114766r;1; 1; 0; 1; 1; 1; 1; 
spécification bn:00073217n;1; 1; 0; 1; 1; 0; 1; 
type unix bn:01415352n;1; 1; 0; 1; 1; 1; 1; 
compilateur bn:00021344n;1; 1; 0; 1; 1; 0; 1; 
compilateur c bn:00014400n;1; 1; 0; 1; 1; 1; 1; 
distribution linux bn:01061442n;1; 1; 0; 1; 0; 0; 1; 
généralement bn:00114778r;1; 1; 0; 1; 1; 1; 1; 
redémarrer bn:00092413v;1; 1; 0; 1; 1; 1; 1; 
