X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
couleur;0.2;0.2;0;0.2;0.2;0
ecrire;0.2;0.2;0;0.2;0.2;0
key;0.333333;0.333333;0;0.333333;0.333333;0.333333
info;0.333333;0.333333;0;0.333333;0.333333;0.333333
parcours;0.333333;0.333333;0;0.333333;0.333333;0.333333
égales;0.2;0.2;0;0.2;0.2;0
pouvoir;0.333333;0.333333;0;0.333333;0.333333;0.333333
valeur par défaut;0.2;0.2;0;0.2;0.2;0
httpd;0.333333;0.333333;0;0.333333;0.333333;0.333333
statiques;0.2;0.2;0;0.2;0.2;0
sport;0.2;0.2;0;0.2;0.2;0
selection multiple;0.333333;0.333333;0;0.333333;0.333333;0.333333
possibilité;0.2;0.2;0;0.2;0.2;0
bouton;0.333333;0.333333;0;0.333333;0.333333;0.333333
saisir;0.333333;0.333333;0;0.333333;0.333333;0.333333
nom;0.333333;0.333333;0;0.333333;0.333333;0.333333
entrée standard;0.333333;0.333333;0;0.333333;0.333333;0.333333
mode connecté;0.333333;0.333333;0;0.333333;0.333333;0.333333
mozilla;0.333333;0.333333;0;0.333333;0.333333;0.333333
placer;0.333333;0.333333;0;0.333333;0.333333;0.333333
rattacher;0.333333;0.333333;0;0.333333;0.333333;0.333333
durée de vie;0.2;0.2;0;0.2;0.2;0
façon;0.2;0.2;0;0.2;0.2;0
path;0.333333;0.333333;0;0.333333;0.333333;0.333333
lire;0.2;0.2;0;0.2;0.2;0
authentification;0.333333;0.333333;0;0.333333;0.333333;0.333333
banque;0.333333;0.333333;0;0.333333;0.333333;0.333333
droit;0.333333;0.333333;0;0.333333;0.333333;0.333333
nobody;0.333333;0.333333;0;0.333333;0.333333;0.333333
basename;0.333333;0.333333;0;0.333333;0.333333;0.333333
dirname;0.333333;0.333333;0;0.333333;0.333333;0.333333
touch;0.333333;0.333333;0;0.333333;0.333333;0.333333
copy;0.333333;0.333333;0;0.333333;0.333333;0.333333
