Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
98;1;Objects;15;1;fichier bn:00021475n;code bn:00020354n;commentaire bn:00020978n;fois bn:00032768n;nombre bn:00058285n;syntaxe bn:00062118n;types bn:00016413n;langage de script bn:01431715n;nécessaire bn:00107182a;chaîne bn:00074685n;mode bn:00033729n;bits bn:00010731n;pouvoir bn:00084450v;easyphp bn:14837849n;echo bn:03626250n;
98;1;Attributes;15;1;C17;
99;1;Objects;16;1;fichier bn:00021475n;client bn:00019764n;php bn:01753580n;commentaire bn:00020978n;délimiter bn:00086464v;case à cocher bn:03157691n;nombre bn:00058285n;types bn:00016413n;côté serveur bn:03816678n;serveur bn:00044916n;côté client bn:03163702n;casse bn:03225002n;interpréter bn:00089840v;pointeur bn:03222272n;exe bn:14503132n;inverse bn:00056301n;
99;1;Attributes;16;1;C2;
100;1;Objects;17;1;navigateur bn:00013447n;client bn:00019764n;base de donnée bn:00025333n;donnée bn:00025314n;javascript bn:00055423n;nombre bn:00058285n;affectation bn:02806034n;case bn:04777941n;mysql bn:01225760n;types bn:00016413n;valeur par défaut bn:03854990n;serveur bn:00044916n;chaîne bn:00074685n;conditionnelle bn:00100214a;cle bn:04756252n;header bn:00043309n;null bn:15898583n;
100;1;Attributes;17;1;C18;
101;1;Objects;18;1;client bn:00019764n;donnée bn:00025314n;php bn:01753580n;code bn:00020354n;fois bn:00032768n;post bn:01500184n;text bn:14981519n;salaire bn:15928884n;jour bn:00000086n;site bn:00047172n;class bn:03598962n;foreach bn:03463379n;bienvenue bn:00080852n;paris bn:00015540n;opérateurs bn:16281811n;cle bn:04756252n;classes bn:03608262n;mysqli bn:01438356n;
101;1;Attributes;18;1;C8;
102;1;Objects;18;1;client bn:00019764n;php bn:01753580n;url bn:00079080n;post bn:01500184n;langage bn:00049910n;case bn:04777941n;fermeture bn:16858148n;site bn:00047172n;session bn:03751534n;avoir accès bn:00082209v;chaîne bn:00074685n;foreach bn:03463379n;timestamp bn:03603649n;france bn:00036202n;header bn:00043309n;valeur bn:00079508n;généralité bn:00041249n;autre bn:00108013a;
102;1;Attributes;18;1;C7;
103;0;Objects;115;0;page web bn:00080778n;navigateur bn:00013447n;serveur web bn:02705179n;fichier bn:00021475n;client bn:00019764n;base de donnée bn:00025333n;donnée bn:00025314n;php bn:01753580n;javascript bn:00055423n;code bn:00020354n;texte bn:00076732n;concerner bn:00083240v;commentaire bn:00020978n;délimiter bn:00086464v;gras bn:00011848n;fois bn:00032768n;lien hypertextes bn:00045513n;url bn:00079080n;case à cocher bn:03157691n;post bn:01500184n;nombre bn:00058285n;text bn:14981519n;sélectionner bn:00084931v;langage bn:00049910n;zones bn:00005513n;utilisateur bn:00079373n;affectation bn:02806034n;syntaxe bn:00062118n;case bn:04777941n;associer bn:00082868v;personne bn:00046516n;structure de contrôle bn:00047734n;définition bn:00025928n;méthode post bn:00045088n;fermeture bn:16858148n;passwd bn:14874750n;machine bn:00054050n;mysql bn:01225760n;salaire bn:15928884n;jour bn:00000086n;programmation bn:00021493n;site bn:00047172n;types bn:00016413n;session bn:03751534n;entités bn:00031027n;côté serveur bn:03816678n;langage de script bn:01431715n;internet bn:00024712n;avoir accès bn:00082209v;système bn:15125301n;valeur par défaut bn:03854990n;menu bn:00021485n;afficher bn:00087013v;nécessaire bn:00107182a;serveur bn:00044916n;class bn:03598962n;composer bn:14766022n;chaîne bn:00074685n;helvetica bn:00043646n;côté client bn:03163702n;list bn:04720346n;mode bn:00033729n;configuration bn:03088982n;xml bn:02771436n;web bn:00080772n;méthode bn:01641329n;bits bn:00010731n;conditionnelle bn:00100214a;foreach bn:03463379n;pouvoir bn:00084450v;mot bn:00081546n;information bn:00046705n;varchar bn:01838409n;timestamp bn:03603649n;easyphp bn:14837849n;casse bn:03225002n;sauvegarder bn:00093281v;insert bn:03795444n;impossible bn:00104687a;fonctionnalité bn:00036836n;couleurs bn:00020726n;bienvenue bn:00080852n;id bn:03885719n;paris bn:00015540n;france bn:00036202n;programmation web bn:03446093n;interpréter bn:00089840v;opérateurs bn:16281811n;pointeur bn:03222272n;cle bn:04756252n;classes bn:03608262n;header bn:00043309n;visiteur bn:03106425n;null bn:15898583n;echo bn:03626250n;positionnement bn:00030615n;exe bn:14503132n;rue bn:00074595n;thomas bn:00005240n;doctype bn:15839327n;file bn:00065682n;mysqli bn:01438356n;attribut bn:00007068n;moteur bn:00030850n;transaction bn:01403911n;valeur bn:00079508n;exception bn:00032118n;head bn:02338897n;wamp bn:01708928n;symfony bn:02798620n;inverse bn:00056301n;info bn:00046698n;realisateur bn:00027369n;généralité bn:00041249n;autre bn:00108013a;
103;0;Attributes;115;0;
