;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
durabilité bn:01803600n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
jointures bn:00048368n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
correcte bn:00100490a;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
finale bn:00102969a;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
système d’exploitation bn:00059123n;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
étrangères bn:00103205a;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
innodb bn:01067935n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
modèle relationnel bn:01978816n;1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
relationnel bn:00109653a;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
perdre bn:00090491v;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
oublier bn:00084302v;1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
compatible bn:00100128a;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
université de rouen bn:00601230n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
france bn:00036202n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
évolué bn:00084199v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
manuel bn:00099315a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
français bn:00103321a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
attention bn:00007020n;1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
faute de frappe bn:00031482n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
entiers bn:00047009n;1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 0; 
3.14 bn:00062194n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
expr bn:03120209n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
spécifique bn:00111003a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
pointeur bn:03222272n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
list bn:04720346n;1; 0; 0; 0; 1; 1; 1; 1; 0; 1; 0; 
inverse bn:00056301n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
trie bn:02479296n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
accès bn:00000759n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strcmp bn:13958358n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
casse bn:03225002n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
occurence bn:00047732n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
décompte bn:00086432v;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
valeur de retour bn:03828774n;1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 1; 
passage par référence bn:14985956n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
traiter bn:00092034v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
navigation bn:00057073n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
rouen bn:03268781n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
code postal bn:00063770n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bouton radio bn:03157702n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
radio bn:00065899n;1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
multiple bn:00056285n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
touche ctrl bn:00020947n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
transfert de fichier bn:03563534n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fread bn:13825823n;1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
fin de fichier bn:02781064n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
existence bn:00009676n;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
carte d’identité bn:00015915n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
timestamp bn:03603649n;1; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 
min bn:00055094n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
exe bn:14503132n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
xhtml bn:01163644n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
2.0 bn:00074217n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
base bn:00008786n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
séparateur bn:03371342n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
supprimer bn:00087533v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
précédence bn:01410322n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
bits bn:00010731n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
strftime bn:03338250n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
modifier bn:00003127n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
numériques bn:00107651a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
réels bn:00066395n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
enum bn:02324948n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fulltext bn:00508617n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fichier par bn:03318531n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
sortie bn:01541423n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
sortie standard bn:01496506n;1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
fermer bn:00085170v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
système de fichiers bn:00034429n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
comparer bn:00085450v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
couleurs bn:00020726n;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 
rectangle bn:00066608n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
polygones bn:00063423n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
destructeur bn:01558988n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
nouveauté bn:00049321n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
exceptions bn:00032118n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
sauvegarder bn:00093281v;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 
inspirer bn:00084021v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
rasmus lerdorf bn:03232211n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
site personnel bn:01605102n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
interpreter bn:00047204n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
contributeurs bn:04850445n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
juin bn:00048592n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
zeev suraski bn:00571154n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
modulaire bn:00106842a;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
extensible bn:00102618a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
supplémentaires bn:00111488a;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
manquer bn:00090161v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
zend bn:03133191n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
zend engine bn:01337536n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
mai bn:00053941n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
c++ bn:03586438n;1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 
xml bn:02771436n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
forum bn:14251420n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
messagerie bn:00030257n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
banque bn:00008364n;1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 
publication en ligne bn:01180578n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
incorporer bn:00089664v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
semblant bn:00045960n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
dédier bn:00085427v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
vitesse bn:00073258n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
côté bn:00110607a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
vbscript bn:02626435n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
jscript bn:01995344n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
activex bn:03829972n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
portage bn:01430733n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
plate-forme bn:00062900n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
langage de programmation procédural bn:01706415n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
mac bn:00052516n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
distribution linux bn:01061442n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
mode bn:00033729n;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 
répertoire personnel bn:02102310n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
complexe bn:00100148a;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 
uvre bn:00016278n;1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 0; 
employer bn:00030616n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
easyphp bn:14837849n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
coloration syntaxique bn:02006707n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mozilla bn:01297088n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
galeon bn:00496122n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
konqueror bn:16498221n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
bordélique bn:00110762a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
endroit bn:00062699n;1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 
souple bn:00102069a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
point-virgule bn:00070420n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
sensible bn:00104681a;1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
lettre bn:00003057n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
contexte bn:00022168n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
transtypage bn:17104905n;1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 0; 
signe égal bn:00031280n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
sans bn:00025713n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
echo bn:03626250n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
affiche bn:15173511n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
globale bn:00103624a;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 
variable locale bn:00958409n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 
locale bn:03080237n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
files bn:00065682n;1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 
upload bn:14037830n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
cache bn:00014484n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
dynamique bn:00101917a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ambiguïté bn:00003266n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
chaîne vide bn:03716205n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
booléenne bn:00098690a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
architecture bn:00005442n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
nombre à virgule flottante bn:00035278n;1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 
puissance de 10 bn:05006238n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ascii bn:00003473n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 
unicode bn:02529895n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
échapper bn:00083961v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
lf bn:00050913n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
carriage return bn:00016246n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
cr bn:00006854n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
antislash bn:00988551n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
notation octale bn:00058598n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
notation hexadécimale bn:00043958n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
hexadécimale bn:00104145a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
numérique bn:00107649a;1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 
table de hachage bn:00587820n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 
pile bn:02100952n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
volée bn:00035208n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
casse bn:00083919v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
redéfinir bn:00092568v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
gauche bn:00902572n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
droite bn:00051291n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 
croître bn:00089082v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
associativité bn:00533203n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
division par deux bn:03686939n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
deux bn:00000075n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
message bn:00521573n;1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
oeil bn:00032512n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
exécutée bn:00091723v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
sorte bn:00035907n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ressembler à bn:00092876v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
homologue bn:00023208n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
existe bn:00083184v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
appel de fonction bn:00036827n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
valeur par défaut bn:03854990n;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 
type de valeurs bn:00253515n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
devoir bn:00091362v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
couvrir bn:00085916v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
limitation bn:00051252n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
conteneur bn:03305154n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
chose bn:00091115v;1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
premier bn:00034738n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
choix multiples bn:03455699n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
vin bn:00080022n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
format de date bn:03576260n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
langue anglaise bn:00030862n;1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 
français bn:00036426n;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 
heure internet bn:02981905n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
vendredi bn:00036512n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
janvier bn:00047960n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
hiver bn:00081370n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
heure de greenwich bn:00040810n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
dec bn:00017011n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fuseau horaire bn:00077302n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
dimanche bn:00028190n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
samedi bn:00068696n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
lundi bn:00055609n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
second bn:00005460n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fonction bn:00036821n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
siècle bn:00017234n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
numérique bn:15182937n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
intervalle bn:00047229n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
semaine 1 bn:04756861n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
abréviation bn:00000239n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
littéral bn:00106042a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
september bn:15649592n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
septembre bn:00070537n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
semaine 3 bn:04756880n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mysql ab bn:03198967n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
licence bn:00050986n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
licence gpl bn:01157379n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
support technique bn:03482340n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
étrangères bn:00096774a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
notamment bn:00115235r;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
moteur de recherche bn:13956658n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
sqlplus bn:02088255n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
intuitif bn:00047307n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
toolkit bn:01526357n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
qt bn:17288164n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
doute bn:00028425n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
administrateur bn:00075765n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
mise à jour bn:15364261n;1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 
varchar bn:01838409n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
tenir compte bn:00082541v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
quantité variables bn:00079581n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
medium bn:00054149n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
tris bn:00072857n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
champ de bn:15987694n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
insérer bn:00087594v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
plupart bn:00050555n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
préférence bn:00061333n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
février bn:00033882n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mise bn:00016287n;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 
expliquer bn:00082235v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
plage bn:04717355n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
mm bn:00055052n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fraction bn:00036154n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
soumettre bn:00094538v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
crash bn:00023573n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
contraintes bn:00022062n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
intégrité bn:03141748n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
parente bn:00033359n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
clé étrangère bn:01944370n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
fils bn:00051877n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
critère bn:00023853n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
flotter bn:00088327v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
order bn:02240223n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
simplicité bn:00071689n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ouverte bn:00107886a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
échec bn:00018197n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
numéroter bn:00091103v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
identiques bn:00104508a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
renommer bn:00092787v;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
avoir besoin de bn:00091028v;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 
valeur bn:00079508n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 
liste chaînée bn:01056813n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
activer bn:00082307v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mode texte bn:03459971n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
fin bn:00113911a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
fichier csv bn:03284335n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ret bn:05006619n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fichier binaire bn:00010479n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
calculer bn:00084373v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
réussite bn:00000870n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
chdir bn:00821546n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
argument bn:00005603n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
relatif bn:00109123a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
prochaine bn:00096455a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
sous bn:00072872n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
base 8 bn:01534404n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
type de fichier bn:01156328n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fifo bn:00034349n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
pointé bn:00086679v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
inode bn:03396161n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
taille de bloc bn:04788419n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
shell unix bn:02558830n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
dirname bn:00242975n;1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
chown bn:02823726n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
chgrp bn:00742376n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
copy bn:14086525n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
hard link bn:03277499n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
lien symbolique bn:01044905n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
masque bn:03236329n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
rename bn:00342646n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
umask bn:03851470n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
encodage bn:00030696n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
avatar bn:03801346n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
vérification bn:00017984n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
pire bn:00113940a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
boite de dialogue bn:00026837n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
gestionnaire de fichier bn:00264400n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
cliquer bn:00085112v;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
bouton bn:03843242n;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
temp bn:00076450n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fichier temporaire bn:03462927n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
verrouiller bn:00090430v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
caractère nul bn:02742063n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
inverse bn:00105377a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
oreille bn:00029372n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
fonctionnement bn:00036838n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
quotes bn:00683774n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
formater bn:00082780v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
troisième bn:00096000a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
colle bn:00001366n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
longueur bn:00050662n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
invisibles bn:00105385a;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
