X;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
vouloir;0;0.0056101;0;0;0;0.00760456;0.00738007;0;0;0;0
switch;0;0.409598;0.267206;0.318954;0.305333;0.338308;0.333333;0.344952;0.262003;0.29275;0.32
reproduire;0;0.00140845;0;0;0;0;0;0;0;0;0
substitution;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
valeur de retour;0;0.022069;0;0;0.0362812;0.0297398;0.0288809;0;0;0;0.0329897
correct;0;0.00281294;0;0;0;0;0.0037037;0;0;0;0
carre;0;0.00140845;0;0;0;0;0;0;0;0;0
identique;0;0.00140845;0;0;0;0;0;0;0;0;0
couleurs;0;0.0111576;0.0203562;0;0;0;0;0.0139616;0;0;0.0167715
coeur;0;0.00140845;0;0;0;0;0;0;0;0;0
passage par référence;0;0.0056101;0;0;0;0;0.00738007;0.00702988;0;0;0
avoir lieu;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
séparer;0;0.00140845;0;0;0;0;0;0;0;0;0
constante;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
valeur par défaut;0;0.022069;0;0;0.0362812;0.0297398;0;0.0275387;0;0;0.0329897
possibilité;0;0.022069;0;0.0339703;0;0.0297398;0;0.0275387;0;0;0.0329897
c++;0;0.0056101;0;0;0.00932401;0;0;0.00702988;0;0;0
classes;0;0.022069;0;0.0339703;0.0362812;0;0;0;0;0.039312;0.0329897
fonctionnalité;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
encapsulation;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
entité;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
entité abstraite;0;0.00140845;0;0;0;0;0;0;0;0;0
abstraite;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
caractéristique;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
téléphone;0;0.00140845;0;0;0;0;0;0;0;0;0
fonctionnement;0;0.0056101;0.0102828;0;0.00932401;0;0;0;0;0;0
héritage;0;0.0111576;0;0;0.0184758;0;0;0;0;0.0200501;0.0167715
supplémentaires;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
polymorphisme;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
constructeur;0;0.0111576;0;0;0.0184758;0;0;0;0;0.0200501;0.0167715
parfois;0;0.00140845;0;0;0;0;0;0;0;0;0
destructeur;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
garbage collector;0;0.00140845;0;0;0;0;0;0;0;0;0
class;0;0.0111576;0.0203562;0;0;0;0;0;0;0.0200501;0.0167715
header;0;0.0111576;0;0;0;0.0150943;0;0;0.0213904;0;0.0167715
mot;0;0.0431849;0.0767386;0.0657084;0;0;0.0561404;0.0536013;0;0;0.0638723
politique;0;0.00140845;0;0;0;0;0;0;0;0;0
façon;0;0.022069;0;0.0339703;0;0.0297398;0;0.0275387;0;0;0.0329897
pouvoir;0;0.00281294;0;0.00437637;0;0;0;0;0;0;0
intervenir;0;0.00140845;0;0;0;0;0;0;0;0;0
malheureusement;0;0.00140845;0;0;0;0;0;0;0;0;0
développer;0;0.00140845;0;0;0;0;0;0;0;0;0
éditer;0;0.00140845;0;0;0;0;0;0;0;0;0
ldap;0;0.00140845;0;0;0;0;0;0;0;0;0
soin;0;0.00140845;0;0;0;0;0;0;0;0;0
fichier de configuration;0;0.00140845;0;0;0;0;0;0;0;0;0
généralement;0;0.0056101;0;0;0.00932401;0;0.00738007;0;0;0;0
reprise;0;0.00140845;0;0;0;0;0;0;0;0;0
encadrer;0;0.00140845;0;0;0;0;0;0;0;0;0
host;0;0.0056101;0;0;0;0;0;0;0;0.0101266;0.00845666
visiteur;0;0.0111576;0;0.0172786;0;0;0;0;0;0.0200501;0.0167715
sauvegarder;0;0.00281294;0.00516796;0;0;0;0;0;0;0;0
compiler;0;0.00140845;0;0;0;0;0;0;0;0;0
détruire;0;0.00140845;0;0;0;0;0;0;0;0;0
sauvegarde;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
retrouver;0;0.00140845;0;0;0;0;0;0;0;0;0
variable globale;0;0.00281294;0;0;0;0;0;0;0.00543478;0;0
port tcp;0;0.00140845;0;0;0;0;0;0;0;0;0
standard;0;0.00140845;0;0;0;0;0;0;0;0;0
log;0;0.00140845;0;0;0;0;0;0;0;0;0
tcp/ip;0;0.00140845;0;0;0;0;0;0;0;0;0
alerte rouge;0;0.00140845;0;0;0;0;0;0;0;0;0
relecture;0;0.00140845;0;0;0;0;0;0;0;0;0
libérer;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
nom de domaine;0;0.00140845;0;0;0;0;0;0;0;0;0
time;0;0.0056101;0;0;0;0.00760456;0;0;0.0108108;0;0
interopérabilité;0;0.00140845;0;0;0;0;0;0;0;0;0
interfaçage;0;0.00140845;0;0;0;0;0;0;0;0;0
langage sql;0;0.0111576;0;0;0.0184758;0;0;0;0;0.0200501;0.0167715
voûte;0;0.00140845;0;0;0;0;0;0;0;0;0
commerce;0;0.00140845;0;0;0;0;0;0;0;0;0
commerce électronique;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
électronique;0;0.00140845;0;0;0;0;0;0;0;0;0
adabas d;0;0.00140845;0;0;0;0;0;0;0;0;0
