;C1;C2;C3;C4;C5;C6;C7;C8;C9
être bn:00004222n;1; 1; 1; 1; 0; 0; 1; 0; 1; 
interrogation bn:00047208n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
jeanne bn:03888564n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
durand bn:04919129n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
andreas bn:02288585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
dalton bn:00025070n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
tr bn:03561884n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
clef primaire bn:03542434n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
franz kafka bn:00036274n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
cotes bn:01852996n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
systématiquement bn:00114825r;1; 1; 1; 1; 0; 1; 1; 1; 1; 
injections bn:03211312n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
injections sql bn:03319192n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
essayer bn:00082844v;1; 1; 1; 1; 0; 0; 1; 1; 1; 
code malveillant bn:01363738n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
faille de sécurité bn:00080285n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
html5 bn:03675085n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
être valables bn:00082706v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
injection de code bn:00184104n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
système d’information bn:00025331n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
credit bn:00022100n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
depot bn:03854733n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
commit bn:00085426v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
réutilisé bn:00092558v;1; 1; 1; 1; 0; 0; 1; 1; 0; 
action bn:00001127n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
courant bn:00024510n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
csrf bn:14277211n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
temporaire bn:00105439a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
django bn:01551307n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
flask bn:14887813n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
token bn:00050895n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
svg bn:02136503n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
mathml bn:03313895n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
document object model bn:03762301n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
document xml bn:04725671n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
bas niveau bn:01163629n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
programme tv bn:00076429n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
tv bn:00076373n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
debut bn:01247692n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
smith bn:15137150n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
realisateur bn:00027369n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
dutchman bn:03862910n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
johnny guitar bn:00554585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
guitar bn:00281486n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
woman under the influence bn:03640247n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
victor/victoria bn:01767778n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
simplexml bn:15053361n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
the flying dutchman bn:16075739n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
jour de fête bn:15946696n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
controleur bn:00022289n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
composants bn:00021396n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
version bn:00047114n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
framework web bn:01653710n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
cd bn:00016915n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
menu bn:00021485n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
poisson bn:00062612n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
catch bn:00037180n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
routage bn:01926016n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
familiariser bn:00082274v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
micro-noyau bn:15964004n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
package bn:01408374n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
courantes bn:00107963a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
bin bn:00000199n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
répertoire de travail bn:00826363n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
log bn:00051830n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
flex bn:00337264n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
test driven development bn:02924470n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
avant bn:00035855n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
méthodologie bn:00054633n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
spécification bn:00073217n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
junit bn:00861107n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
phpunit bn:00980999n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
sommes bn:00082322v;1; 1; 1; 1; 0; 1; 1; 1; 0; 
librairie bn:00050969n;1; 1; 1; 1; 0; 0; 1; 0; 1; 
mettre en place bn:00088250v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
architecture rest bn:03799604n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
transfer bn:03128918n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
logique métier bn:00795795n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
json bn:00802141n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
js bn:15539067n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
rich internet application bn:00268208n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
patch bn:00060970n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
soap bn:02284891n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
principe bn:00064428n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
roy fielding bn:00949159n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
thèse bn:00027718n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
séparation bn:00070542n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
code serveur bn:16078281n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
description bn:04723965n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
mémorisation bn:00021038n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
contact bn:00085696v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
creation bn:03599511n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
détails bn:00067417n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
avérer bn:00095117v;1; 1; 1; 1; 0; 1; 1; 1; 1; 
root bn:00168023n;1; 1; 1; 1; 0; 1; 1; 1; 0; 
voter bn:00008198n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
mobile bn:00017029n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
informatique bn:00021494n;1; 1; 1; 1; 0; 0; 1; 1; 1; 
initialisation bn:00046781n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
gitlab bn:14257471n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
bitbucket bn:01444337n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
github bn:01101521n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
revue bn:00052671n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
gestion de version bn:03364124n;1; 1; 1; 1; 0; 1; 1; 1; 1; 
professionnelle bn:00109068a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
historique bn:00104223a;1; 1; 1; 1; 0; 1; 1; 1; 1; 
dominique bn:00021210n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
novembre bn:00058192n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
document bn:00087138v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
gnu bn:00324017n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
gnu fdl bn:01157394n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
généralité bn:00041249n;1; 1; 1; 1; 1; 0; 0; 1; 1; 
langage intermédiaires bn:00350794n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
faq bn:00033653n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
préliminaire bn:00108949a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
postgresql bn:01709156n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
pear bn:03735126n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
dbx bn:03185121n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
news bn:03357706n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
manipulation bn:00053225n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
accueil bn:00044514n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
étude de cas bn:02395950n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
évaluation bn:00031973n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
généalogie bn:00033524n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
généralité bn:00037670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
optimisation bn:01564896n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fonctionnement bn:00059128n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
remarque bn:00020977n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
autre bn:00108013a;1; 1; 1; 1; 1; 0; 0; 1; 1; 
traiter de bn:00083202v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
aborder bn:00084117v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
universitaires bn:00110169a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
autonome bn:00097830a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
logiciel bn:00021497n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
docbook bn:03194644n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
texte source bn:03152229n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
emacs bn:01156253n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
disponible bn:00097848a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
seul bn:00110667a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
langage naturels bn:00056990n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
processeur bn:00014395n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
réécrire bn:00092997v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
portabilité bn:03720519n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
langage compilés bn:00981689n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
intelligible bn:00097389a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
point de vue bn:00063237n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
auxiliaire bn:00007423n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mesure bn:00090716v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
compilé bn:00085470v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
confidentialité bn:00021748n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
paiement bn:00061119n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
paiement en ligne bn:05011741n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
lisp bn:00051502n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
applets bn:00005083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
flash bn:01369336n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
problématique bn:00097982a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
contrôle de sécurité bn:03784539n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
validité bn:01410980n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
être extrait bn:00087897v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
outil de développement bn:03072994n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
application web bn:02246184n;1; 1; 1; 1; 1; 0; 1; 0; 0; 
tant bn:00114490r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
cas particulier bn:02482901n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
générale bn:00103507a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
quelconques bn:00097433a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
classiques bn:00019566n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
inférieur bn:00035700n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
table de multiplication bn:03381903n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
factorielles bn:00032673n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
enfant bn:00018346n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
common gateway interface bn:03588331n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
pouvoir bn:00084451v;1; 1; 1; 1; 1; 0; 1; 1; 0; 
après bn:00114165r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
clic bn:00019758n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
exclusifs bn:00102512a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
avoir accès bn:00082209v;1; 1; 1; 1; 1; 0; 0; 1; 0; 
phrase bn:00070528n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bébé bn:00007630n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
distance bn:00027749n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
vrai bn:00078452n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
nom de personne bn:03150299n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
permis de chasse bn:00037195n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
capital bn:00015496n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
coûter bn:00083193v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
groupe bn:00041942n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
incomplète bn:00104851a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
devinette bn:00012686n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
manipulation bn:00042822n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
string bn:00050078n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
matrice bn:00053849n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
boucle for bn:03237322n;1; 1; 1; 1; 1; 0; 1; 0; 0; 
couple bn:00012597n;1; 1; 1; 1; 1; 0; 0; 1; 1; 
hoaxbuster bn:04764839n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
virus bn:00021501n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
e-mail bn:00029345n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
identifier bn:00089575v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
xxvii bn:00000091n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
pilote bn:00026721n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fonction de base bn:03294262n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
migration bn:00261245n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
comme bn:00117173r;1; 1; 1; 1; 1; 0; 1; 1; 0; 
adodb bn:00868267n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
metadata bn:00054548n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mssql bn:00605043n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
firebird bn:02246711n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
informix bn:03306725n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
odbc bn:14228731n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
clore bn:00087609v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
explicitement bn:00115285r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
ansi bn:03507104n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
homogène bn:00104286a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
adresse mail bn:02312462n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
copier-coller bn:00797466n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
rendre bn:00067105n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
détecter bn:00086708v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
envier bn:00083351v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
souhaitable bn:00101237a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
force brute bn:00149736n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bc bn:15403265n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
temps de calcul bn:00068589n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
compliquer bn:00085483v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
chaîne littérale bn:01271375n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
tex bn:02362481n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
alex bn:03665083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
thomas bn:00005240n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
avoir envie de bn:00088107v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fonctionnalité bn:00036836n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
archiver bn:00005448n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
stocker bn:00089368v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
particulier bn:00073185n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
data source name bn:03804134n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
héberger bn:00082216v;1; 1; 1; 1; 1; 0; 1; 1; 0; 
légèrement bn:00116111r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
configurer bn:00085667v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
affichage bn:00027675n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
tel bn:00000005n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fax bn:00032653n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
guise bn:00000146n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bcd bn:16690020n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
sous-répertoire bn:00074880n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
article de presse bn:14993780n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
copier bn:00022534n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
horizontale bn:00104328a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fin de paragraphe bn:03475717n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
système d’exploitation bn:00059123n;1; 1; 1; 1; 1; 0; 1; 1; 0; 
disquette bn:00027619n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mini-site bn:00251724n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
accès libre bn:04691509n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
libre bn:00099806a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
numéro de téléphone bn:00058286n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
téléphone bn:00062020n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
énoncé bn:00087699v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
punition bn:00061325n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
récursive bn:00109560a;1; 1; 1; 1; 1; 0; 1; 1; 0; 
retour bn:00046318n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
or bn:00006911n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
compléter bn:00085479v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
féminin bn:00102884a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
chasse bn:00045245n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
chiens bn:00015267n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
amis bn:00036538n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bienvenue bn:00080852n;1; 1; 1; 1; 1; 0; 1; 0; 1; 
interdit bn:04029035n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
limiter bn:00086468v;1; 1; 1; 1; 1; 0; 1; 0; 1; 
triche bn:00017978n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
pipotron bn:04723513n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
égard bn:00031654n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
dégradation bn:02639083n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
convient bn:00094581v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
anticiper bn:00082665v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
préoccuper bn:00085522v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
remémorer bn:00084413v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
globalité bn:00031025n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
possession bn:00059958n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bon sens bn:00021164n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
correspondante bn:00096282a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
onglets bn:00120018n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
sciences bn:00069670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
chansons bn:00072794n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
genre musicaux bn:00037743n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
parole bn:00049911n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
statistique bn:00074061n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
droit d’auteur bn:03579896n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
supprimer bn:00086081v;1; 1; 1; 1; 1; 0; 1; 1; 0; 
paroles de chanson bn:03103700n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
orthographe bn:00059588n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
familiarisation bn:00032889n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
créneau horaires bn:00072215n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
pouvoir bn:00063940n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
notification bn:00005139n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
tableur bn:00073631n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
dérouler bn:00085568v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
rue bn:00074595n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
seance bn:03262459n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
club de tennis bn:00076523n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
tennis bn:00050287n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
défaire bn:00083247v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
payer bn:00091494v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
matériel bn:00021480n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
civile bn:00099730a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
clavier bn:00021482n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
vol bn:00050004n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
dégradation bn:03664474n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mettre en prison bn:00088673v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
vainqueur bn:00079944n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
logistiques bn:00051869n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
match bn:00090698v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
caravane bn:02932902n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
branchement bn:00131727n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
lit bn:00009472n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
lit pliants bn:00015043n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
nuit bn:00025236n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
redevance bn:00068452n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
véhicules bn:00079675n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
courrier publicitaires bn:00027338n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
publicitaires bn:00109098a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
car bn:00007329n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
réfrigérateur bn:00045744n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
prestation bn:00064923n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
localisation géographique bn:01504309n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
téléphone bn:00084387v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
entendre bn:00007120n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
fin bn:00105751a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
presque bn:00114079r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
adhérents bn:00001362n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
adhesion bn:00001361n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
moindre bn:00105825a;1; 1; 1; 1; 1; 0; 1; 1; 0; 
intuitive bn:00105365a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
vital bn:00113642a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
bibliothèque thématiques bn:00482485n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
thématiques bn:00111800a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
avantageront bn:00083414v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
aphorisme bn:00004883n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
logiciel libres bn:00182120n;1; 1; 1; 1; 1; 0; 0; 1; 1; 
décès bn:00025582n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
seul bn:00114235r;1; 1; 1; 1; 1; 0; 1; 1; 1; 
lieu de naissance bn:00010686n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
multimédia bn:00056283n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
document officiel bn:00046963n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
acte bn:00001077n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
acte de naissance bn:00010670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mariage bn:00053107n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
minimales bn:00106755a;1; 1; 1; 1; 1; 0; 1; 1; 1; 
album bn:00002488n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
photo bn:00062084n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
import-export bn:15970061n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
gedcom bn:02074085n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
mormons bn:00019012n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
nom complet bn:01700772n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
jésus-christ bn:00018805n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
logiciel de généalogie bn:01872393n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
stocker bn:00095635v;1; 1; 1; 1; 1; 0; 1; 1; 1; 
maladies bn:00027546n;1; 1; 1; 1; 1; 0; 1; 1; 1; 
