X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
case à cocher bn:03157691n ; 0.0278746 ; 0 ; 0 ; 0.0278746 ; 0 ; 0.0278746 ; 0 ; 0 ; 0.0278746 ; 0
post bn:01500184n ; 0 ; 0.0905923 ; 0.097561 ; 0 ; 0.0940767 ; 0.10453 ; 0 ; 0 ; 0.0905923 ; 0.10453
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0418118 ; 0.0557491 ; 0 ; 0.0418118 ; 0.0487805 ; 0 ; 0.0487805
text bn:14981519n ; 0.170732 ; 0.160279 ; 0.174216 ; 0.142857 ; 0.205575 ; 0.1777 ; 0 ; 0 ; 0 ; 0.181185
langage bn:00049910n ; 0.202091 ; 0.184669 ; 0.233449 ; 0 ; 0.247387 ; 0.275261 ; 0 ; 0.111498 ; 0.229965 ; 0.254355
zones bn:00005513n ; 0 ; 0 ; 0.00696864 ; 0 ; 0 ; 0.00696864 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.101045 ; 0.0940767 ; 0.108014 ; 0.101045 ; 0 ; 0 ; 0.0940767 ; 0.097561
case bn:04777941n ; 0.0940767 ; 0.0905923 ; 0.097561 ; 0 ; 0 ; 0.10453 ; 0 ; 0 ; 0.0905923 ; 0.10453
associer bn:00082868v ; 0 ; 0 ; 0.0557491 ; 0 ; 0.0557491 ; 0.0557491 ; 0 ; 0 ; 0.0557491 ; 0.0557491
personne bn:00046516n ; 0 ; 0 ; 0.0487805 ; 0.0487805 ; 0.0522648 ; 0 ; 0 ; 0.0487805 ; 0.0522648 ; 0
